Iterations,Adagrad,AdagradG
0,-1094.4793981,-1094.4793981
1,-1099.21096154,-23976.4493856
2,-1088.5371967,-2512.47639118
3,-1085.00707207,-14688.954721
4,-1082.71500918,-1567.50700555
5,-1080.7057616,-5658.69547827
6,-1078.85698074,-7599.08887394
7,-1077.13895819,-5304.16414259
8,-1075.53266934,-4798.811677
9,-1074.02382754,-5231.32028675
10,-1072.60101995,-3222.12601782
11,-1071.25493848,-4437.11434522
12,-1069.97784444,-2971.97822931
13,-1068.76320791,-3604.21634006
14,-1067.60544964,-2898.72489614
15,-1066.49975205,-3037.81903777
16,-1065.44191736,-2698.17225855
17,-1064.42825896,-2638.90325279
18,-1063.45551663,-2477.73841562
19,-1062.52078959,-2353.53783842
20,-1061.62148269,-2280.9119944
21,-1060.75526279,-2143.01528076
22,-1059.92002305,-2117.99395585
23,-1059.11385325,-1984.64807841
24,-1058.33501511,-1986.66955506
25,-1057.58192146,-1863.72359742
26,-1056.85311865,-1881.79306714
27,-1056.14727145,-1769.99982333
28,-1055.46315022,-1798.04118497
29,-1054.79961975,-1696.14956134
30,-1054.15562956,-1730.70155603
31,-1053.53020559,-1636.88929814
32,-1052.92244272,-1675.89431622
33,-1052.33149842,-1588.39747407
34,-1051.75658694,-1630.55943729
35,-1051.19697431,-1547.90444151
36,-1050.65197386,-1592.34966721
37,-1050.12094215,-1513.40175386
38,-1049.60327549,-1559.4998432
39,-1049.09840666,-1483.43461953
40,-1048.60580204,-1530.7030902
41,-1048.12495903,-1456.95137129
42,-1047.65540369,-1505.00396352
43,-1047.19668861,-1433.19259775
44,-1046.74839097,-1481.71043211
45,-1046.31011084,-1411.60900433
46,-1045.88146948,-1460.32381926
47,-1045.46210799,-1391.80090619
48,-1045.05168589,-1440.48478173
49,-1044.64987993,-1373.47427421
50,-1044.25638298,-1421.9329019
51,-1043.87090296,-1356.40935052
52,-1043.49316192,-1404.47727805
53,-1043.12289516,-1340.4386006
54,-1042.7598504,-1387.97560013
55,-1042.40378704,-1325.43141908
56,-1042.05447548,-1372.31951704
57,-1041.71169647,-1311.28360099
58,-1041.37524051,-1357.42452195
59,-1041.04490728,-1297.91010939
60,-1040.72050517,-1343.22300463
61,-1040.40185075,-1285.24009188
62,-1040.08876836,-1329.6594876
63,-1039.78108967,-1273.21341911
64,-1039.47865328,-1316.68735219
65,-1039.18130441,-1261.77825128
66,-1038.88889448,-1304.2665763
67,-1038.60128086,-1250.88930068
68,-1038.31832652,-1292.36215834
69,-1038.03989978,-1240.50656872
70,-1037.76587405,-1280.94300761
71,-1037.49612753,-1230.59440962
72,-1037.23054306,-1269.98115312
73,-1036.96900781,-1221.12082211
74,-1036.71141315,-1259.45117129
75,-1036.45765441,-1212.0569024
76,-1036.20763071,-1249.32976509
77,-1035.96124478,-1203.3764133
78,-1035.71840281,-1239.59544889
