Iterations,Adagrad,AdagradG
0,-868.513417242,-868.513417242
1,-861.145551507,-716.535468707
2,-856.080470089,-488.288337584
3,-852.024365621,-407.61989074
4,-848.566235969,-360.102866538
5,-845.514457424,-336.042025977
6,-842.761571943,-319.939058829
7,-840.240244087,-307.884730903
8,-837.905009145,-298.359868291
9,-835.72347194,-290.63217462
10,-833.671590976,-284.242558665
11,-831.730946458,-278.879008588
12,-829.887059215,-274.319798466
13,-828.128305316,-270.402910078
14,-826.445187182,-267.007098548
15,-824.829827801,-264.039777034
16,-823.275609858,-261.428986139
17,-821.776912059,-259.117929141
18,-820.328912413,-257.061163123
19,-818.927438785,-255.221887817
20,-817.568853518,-253.569979138
21,-816.249963062,-252.080538565
22,-814.967946284,-250.732806613
23,-813.72029693,-249.509337697
24,-812.504776974,-248.395365567
25,-811.319378422,-247.378309677
26,-810.162291784,-246.447387122
27,-809.031879843,-245.593304609
28,-807.926655675,-244.808011765
29,-806.845264114,-244.084501952
30,-805.786466028,-243.416650187
31,-804.749124906,-242.799080349
32,-803.732195363,-242.227055641
33,-802.734713227,-241.696387694
34,-801.755786976,-241.203360692
35,-800.794590282,-240.744667715
36,-799.85035552,-240.317357049
37,-798.922368073,-239.918786688
38,-798.00996133,-239.546585615
39,-797.112512282,-239.198620708
40,-796.229437611,-238.872968338
41,-795.360190234,-238.567889908
42,-794.504256212,-238.281810713
43,-793.661152002,-238.013301593
44,-792.83042199,-237.761062982
45,-792.011636279,-237.523910981
46,-791.204388696,-237.300765163
47,-790.408294998,-237.090637872
48,-789.622991244,-236.892624811
49,-788.848132326,-236.705896725
50,-788.083390631,-236.529692057
51,-787.328454823,-236.363310427
52,-786.583028734,-236.206106846
53,-785.846830349,-236.057486555
54,-785.119590883,-235.91690043
55,-784.40105392,-235.783840867
56,-783.690974644,-235.657838095
57,-782.989119109,-235.538456873
58,-782.295263584,-235.425293514
59,-781.609193937,-235.31797321
60,-780.930705074,-235.216147617
61,-780.259600414,-235.11949267
62,-779.595691404,-235.027706612
63,-778.938797072,-234.940508202
64,-778.288743608,-234.857635094
65,-777.645363976,-234.778842356
66,-777.00849755,-234.703901132
67,-776.377989782,-234.632597416
68,-775.753691883,-234.564730931
69,-775.13546053,-234.500114117
70,-774.523157594,-234.43857119
71,-773.916649876,-234.379937291
72,-773.315808875,-234.324057703
73,-772.720510551,-234.27078713
74,-772.130635123,-234.219989036
75,-771.546066863,-234.171535042
76,-770.96669391,-234.125304359
77,-770.392408092,-234.08118328
78,-769.823104764,-234.039064702
79,-769.258682646,-233.998847682
80,-768.699043676,-233.960437041
81,-768.144092874,-233.923742979
82,-767.593738205,-233.888680736
83,-767.047890458,-233.855170265
84,-766.506463125,-233.823135933
85,-765.96937229,-233.792506248
86,-765.436536524,-233.763213601
87,-764.907876784,-233.735194024
88,-764.383316317,-233.70838697
89,-763.86278057,-233.682735106
90,-763.346197105,-233.65818412
91,-762.833495513,-233.634682542
92,-762.324607345,-233.612181573
93,-761.819466027,-233.590634935
94,-761.3180068,-233.56999872
95,-760.820166646,-233.550231254
96,-760.325884227,-233.531292971
97,-759.835099822,-233.513146293
98,-759.347755274,-233.495755519
99,-758.863793928,-233.479086717
100,-758.383160582,-233.463107631
101,-757.905801436,-233.447787585
102,-757.431664041,-233.433097398
103,-756.960697259,-233.419009302
104,-756.492851211,-233.405496869
105,-756.028077239,-233.392534935
106,-755.566327867,-233.380099537
107,-755.107556758,-233.368167846
108,-754.651718679,-233.356718109
109,-754.198769466,-233.345729596
110,-753.748665988,-233.335182541
111,-753.301366117,-233.325058097
112,-752.856828693,-233.315338288
113,-752.415013496,-233.306005963
114,-751.975881216,-233.297044759
115,-751.539393427,-233.288439054
116,-751.105512557,-233.280173938
117,-750.674201866,-233.272235171
118,-750.245425416,-233.264609154
119,-749.819148054,-233.257282897
120,-749.395335383,-233.250243988
121,-748.973953743,-233.243480565
122,-748.554970188,-233.236981291
123,-748.138352469,-233.230735327
124,-747.724069008,-233.224732309
125,-747.312088887,-233.218962327
126,-746.902381821,-233.213415899
127,-746.494918147,-233.208083956
128,-746.089668804,-233.202957819
129,-745.686605317,-233.198029184
130,-745.285699781,-233.1932901
131,-744.886924846,-233.188732959
132,-744.490253701,-233.184350473
133,-744.095660061,-233.180135666
134,-743.703118152,-233.176081854
135,-743.312602699,-233.172182638
136,-742.924088911,-233.168431884
137,-742.537552472,-233.164823717
138,-742.152969524,-233.161352507
139,-741.770316659,-233.158012856
140,-741.389570906,-233.154799594
141,-741.010709722,-233.15170776
142,-740.633710977,-233.148732601
143,-740.258552949,-233.145869557
144,-739.88521431,-233.143114257
145,-739.513674119,-233.140462508
146,-739.14391181,-233.137910286
147,-738.775907185,-233.135453734
148,-738.409640406,-233.133089148
149,-738.045091983,-233.130812977
150,-737.682242769,-233.128621811
151,-737.321073949,-233.126512378
152,-736.961567035,-233.124481536
153,-736.603703858,-233.122526272
154,-736.247466558,-233.120643691
155,-735.892837581,-233.118831014
156,-735.539799667,-233.117085571
157,-735.188335849,-233.115404801
158,-734.838429442,-233.113786242
159,-734.490064038,-233.11222753
160,-734.1432235,-233.110726395
161,-733.797891958,-233.109280655
162,-733.454053798,-233.107888214
163,-733.111693662,-233.106547058
164,-732.770796439,-233.105255253
165,-732.431347259,-233.104010939
166,-732.093331493,-233.10281233
167,-731.75673474,-233.101657707
168,-731.42154283,-233.10054542
169,-731.087741813,-233.099473883
170,-730.755317958,-233.098441568
171,-730.424257747,-233.097447011
172,-730.094547872,-233.0964888
173,-729.766175225,-233.09556558
174,-729.439126905,-233.094676048
175,-729.113390201,-233.093818948
176,-728.788952598,-233.092993076
177,-728.465801768,-233.092197272
178,-728.143925566,-233.091430421
179,-727.82331203,-233.090691448
180,-727.503949375,-233.089979323
181,-727.185825987,-233.089293052
182,-726.868930425,-233.088631681
183,-726.553251413,-233.087994289
184,-726.23877784,-233.087379993
185,-725.925498754,-233.086787942
186,-725.613403361,-233.086217317
187,-725.302481021,-233.085667331
188,-724.992721245,-233.085137224
189,-724.684113692,-233.084626267
190,-724.376648168,-233.084133758
191,-724.07031462,-233.083659021
192,-723.765103136,-233.083201404
193,-723.461003941,-233.082760283
194,-723.158007396,-233.082335052
195,-722.856103994,-233.081925133
196,-722.555284355,-233.081529965
197,-722.255539231,-233.081149012
198,-721.956859497,-233.080781755
199,-721.659236151,-233.080427695
200,-721.362660311,-233.080086352
201,-721.067123214,-233.079757263
202,-720.772616215,-233.079439983
203,-720.47913078,-233.079134083
204,-720.186658491,-233.07883915
205,-719.895191038,-233.078554787
206,-719.604720218,-233.07828061
207,-719.315237938,-233.078016249
208,-719.026736206,-233.077761351
209,-718.739207135,-233.077515572
210,-718.452642938,-233.077278582
211,-718.167035928,-233.077050065
212,-717.882378515,-233.076829713
213,-717.598663203,-233.076617233
214,-717.315882592,-233.07641234
215,-717.034029376,-233.07621476
216,-716.753096338,-233.076024231
217,-716.473076349,-233.075840498
218,-716.193962372,-233.075663316
219,-715.915747453,-233.07549245
220,-715.638424724,-233.075327673
221,-715.361987402,-233.075168765
222,-715.086428784,-233.075015516
223,-714.811742251,-233.074867723
224,-714.53792126,-233.07472519
225,-714.264959348,-233.074587727
226,-713.99285013,-233.074455154
227,-713.721587296,-233.074327295
228,-713.451164609,-233.07420398
229,-713.181575908,-233.074085048
230,-712.912815102,-233.073970341
231,-712.644876173,-233.073859708
232,-712.37775317,-233.073753004
233,-712.111440214,-233.073650087
234,-711.845931493,-233.073550823
235,-711.58122126,-233.07345508
236,-711.317303834,-233.073362734
237,-711.054173601,-233.073273663
238,-710.791825008,-233.07318775
239,-710.530252566,-233.073104882
240,-710.269450846,-233.07302495
241,-710.009414483,-233.072947851
242,-709.750138168,-233.072873483
243,-709.491616653,-233.072801748
244,-709.233844747,-233.072732553
245,-708.976817319,-233.072665808
246,-708.72052929,-233.072601425
247,-708.464975639,-233.07253932
248,-708.210151399,-233.072479413
249,-707.956051657,-233.072421624
250,-707.702671553,-233.072365879
251,-707.450006279,-233.072312105
252,-707.198051079,-233.072260231
253,-706.946801247,-233.072210192
254,-706.696252127,-233.07216192
255,-706.446399112,-233.072115354
256,-706.197237645,-233.072070434
257,-705.948763215,-233.072027099
258,-705.700971361,-233.071985295
259,-705.453857664,-233.071944967
260,-705.207417754,-233.071906063
261,-704.961647307,-233.071868532
262,-704.71654204,-233.071832325
263,-704.472097717,-233.071797396
264,-704.228310144,-233.071763699
265,-703.985175169,-233.071731191
266,-703.742688685,-233.07169983
267,-703.500846623,-233.071669574
268,-703.259644957,-233.071640386
269,-703.0190797,-233.071612226
270,-702.779146906,-233.071585059
271,-702.539842669,-233.07155885
272,-702.301163119,-233.071533564
273,-702.063104426,-233.071509169
274,-701.825662799,-233.071485634
275,-701.588834481,-233.071462928
276,-701.352615754,-233.071441021
277,-701.117002935,-233.071419887
278,-700.881992379,-233.071399496
279,-700.647580473,-233.071379824
280,-700.413763641,-233.071360844
281,-700.18053834,-233.071342532
282,-699.947901062,-233.071324865
283,-699.715848332,-233.071307819
284,-699.484376707,-233.071291374
285,-699.253482778,-233.071275507
286,-699.023163168,-233.071260199
287,-698.793414531,-233.071245429
288,-698.564233553,-233.071231179
289,-698.33561695,-233.07121743
290,-698.107561468,-233.071204164
291,-697.880063886,-233.071191365
292,-697.65312101,-233.071179016
293,-697.426729676,-233.071167102
294,-697.20088675,-233.071155606
295,-696.975589125,-233.071144515
296,-696.750833724,-233.071133813
297,-696.526617496,-233.071123488
298,-696.30293742,-233.071113525
299,-696.079790499,-233.071103913
300,-695.857173767,-233.071094638
