Iterations,Adagrad,AdagradG
0,-131.004817126,-131.004817126
1,-129.864357808,-187.971617869
2,-129.100197583,-114.245240456
3,-128.498872435,-112.644448214
4,-127.993682451,-108.886017454
5,-127.553634317,-107.486980359
6,-127.161387846,-105.516903096
7,-126.806096232,-104.663392391
8,-126.480446,-103.871926746
9,-126.179232148,-103.463163321
10,-125.89859572,-103.144005376
11,-125.635582613,-102.951182779
12,-125.387872344,-102.806273594
13,-125.153603079,-102.705581826
14,-124.931254209,-102.626927536
15,-124.719564937,-102.565349647
16,-124.517476223,-102.513931535
17,-124.324088405,-102.4699928
18,-124.138629607,-102.431100851
19,-123.960431761,-102.395984137
20,-123.788912122,-102.363663552
21,-123.623558796,-102.333526848
22,-123.46391929,-102.305120669
23,-123.309591323,-102.278128038
24,-123.160215393,-102.252310294
25,-123.015468698,-102.227488508
26,-122.875060125,-102.203523682
27,-122.738726082,-102.180307019
28,-122.606227017,-102.157751633
29,-122.477344474,-102.135787662
30,-122.3518786,-102.114358158
31,-122.229646025,-102.09341648
32,-122.110478031,-102.072924014
33,-121.994218985,-102.052848664
34,-121.880724978,-102.033163499
35,-121.769862635,-102.013845821
36,-121.661508088,-101.994876321
37,-121.555546063,-101.97623849
38,-121.451869083,-101.957918073
39,-121.350376761,-101.939902687
40,-121.25097518,-101.922181467
41,-121.153576329,-101.90474481
42,-121.058097613,-101.88758415
43,-120.964461407,-101.870691781
44,-120.872594657,-101.854060708
45,-120.782428526,-101.837684535
46,-120.69389807,-101.821557362
47,-120.606941946,-101.805673708
48,-120.521502146,-101.790028445
49,-120.437523765,-101.774616749
50,-120.354954774,-101.75943405
51,-120.27374583,-101.744476
52,-120.19385009,-101.729738445
53,-120.115223045,-101.715217394
54,-120.037822371,-101.700909009
55,-119.961607789,-101.686809579
56,-119.886540934,-101.672915512
57,-119.812585241,-101.659223321
58,-119.739705834,-101.645729616
59,-119.667869424,-101.632431094
60,-119.597044219,-101.619324536
61,-119.527199836,-101.606406796
62,-119.458307222,-101.5936748
63,-119.390338578,-101.581125543
64,-119.32326729,-101.56875608
65,-119.257067869,-101.556563528
66,-119.191715883,-101.544545063
67,-119.127187909,-101.532697913
68,-119.063461475,-101.521019363
69,-119.000515013,-101.509506746
70,-118.938327815,-101.498157447
71,-118.876879987,-101.486968899
72,-118.816152409,-101.475938581
73,-118.756126699,-101.465064017
74,-118.696785175,-101.454342778
75,-118.638110824,-101.443772475
76,-118.580087266,-101.433350763
77,-118.522698732,-101.423075339
78,-118.465930027,-101.412943938
79,-118.409766509,-101.402954337
80,-118.354194061,-101.39310435
81,-118.299199071,-101.383391829
82,-118.244768407,-101.373814664
83,-118.190889393,-101.36437078
84,-118.137549796,-101.355058138
85,-118.084737799,-101.345874734
86,-118.03244199,-101.336818598
87,-117.98065134,-101.327887794
88,-117.929355187,-101.319080419
89,-117.878543224,-101.3103946
90,-117.828205481,-101.301828497
91,-117.778332312,-101.293380303
92,-117.728914381,-101.285048239
93,-117.67994265,-101.276830556
94,-117.63140837,-101.268725534
95,-117.583303061,-101.260731483
96,-117.53561851,-101.252846741
97,-117.488346756,-101.245069673
98,-117.441480082,-101.237398671
99,-117.395011002,-101.229832153
100,-117.348932256,-101.222368566
101,-117.303236799,-101.21500638
102,-117.257917794,-101.207744091
103,-117.212968603,-101.200580219
104,-117.16838278,-101.19351331
105,-117.124154063,-101.186541932
106,-117.080276368,-101.179664677
107,-117.036743782,-101.172880162
108,-116.993550557,-101.166187022
109,-116.950691104,-101.15958392
110,-116.908159986,-101.153069535
111,-116.865951914,-101.146642571
112,-116.82406174,-101.140301751
113,-116.782484455,-101.134045822
114,-116.741215179,-101.127873546
115,-116.700249161,-101.121783709
116,-116.659581774,-101.115775115
117,-116.619208507,-101.109846587
118,-116.579124966,-101.103996968
119,-116.539326866,-101.098225117
120,-116.499810028,-101.092529914
121,-116.460570379,-101.086910255
122,-116.421603941,-101.081365055
123,-116.382906836,-101.075893244
124,-116.344475279,-101.07049377
125,-116.306305572,-101.0651656
126,-116.268394106,-101.059907713
127,-116.230737357,-101.054719107
128,-116.19333188,-101.049598795
129,-116.15617431,-101.044545806
130,-116.119261358,-101.039559182
131,-116.08258981,-101.034637982
132,-116.046156521,-101.02978128
133,-116.009958417,-101.024988164
134,-115.973992492,-101.020257735
135,-115.938255802,-101.015589108
136,-115.902745468,-101.010981414
137,-115.867458673,-101.006433796
138,-115.832392656,-101.001945409
139,-115.797544716,-100.997515423
140,-115.762912207,-100.99314302
141,-115.728492538,-100.988827394
142,-115.694283169,-100.984567752
143,-115.660281612,-100.980363313
144,-115.626485427,-100.976213308
145,-115.592892224,-100.972116981
146,-115.559499659,-100.968073584
147,-115.526305432,-100.964082384
148,-115.493307289,-100.960142657
149,-115.460503019,-100.956253691
150,-115.427890451,-100.952414785
151,-115.395467455,-100.948625247
152,-115.363231941,-100.944884397
153,-115.331181857,-100.941191565
154,-115.299315189,-100.937546091
155,-115.267629958,-100.933947323
156,-115.236124222,-100.930394623
157,-115.204796073,-100.926887358
158,-115.173643635,-100.923424907
159,-115.142665066,-100.920006658
160,-115.111858557,-100.916632008
161,-115.081222328,-100.913300362
162,-115.05075463,-100.910011135
163,-115.020453745,-100.906763751
164,-114.99031798,-100.903557641
165,-114.960345674,-100.900392246
166,-114.930535193,-100.897267014
167,-114.900884926,-100.894181401
168,-114.871393293,-100.891134872
169,-114.842058736,-100.8881269
170,-114.812879723,-100.885156965
171,-114.783854747,-100.882224555
172,-114.754982324,-100.879329165
173,-114.726260992,-100.876470297
174,-114.697689315,-100.873647461
175,-114.669265875,-100.870860175
176,-114.640989279,-100.868107963
177,-114.612858153,-100.865390355
178,-114.584871145,-100.86270689
179,-114.557026922,-100.860057111
180,-114.529324171,-100.85744057
181,-114.501761601,-100.854856824
182,-114.474337935,-100.852305437
183,-114.447051919,-100.84978598
184,-114.419902314,-100.847298028
185,-114.392887901,-100.844841163
186,-114.366007477,-100.842414975
187,-114.339259857,-100.840019058
188,-114.312643872,-100.837653011
189,-114.286158369,-100.83531644
190,-114.259802212,-100.833008957
191,-114.233574279,-100.830730179
192,-114.207473466,-100.828479727
193,-114.181498681,-100.82625723
194,-114.15564885,-100.824062321
195,-114.12992291,-100.821894637
196,-114.104319814,-100.819753822
197,-114.07883853,-100.817639524
198,-114.053478037,-100.815551397
199,-114.02823733,-100.813489098
200,-114.003115416,-100.811452291
201,-113.978111313,-100.809440642
202,-113.953224055,-100.807453826
203,-113.928452687,-100.805491517
204,-113.903796265,-100.803553398
205,-113.879253858,-100.801639155
206,-113.854824547,-100.799748477
207,-113.830507424,-100.79788106
208,-113.806301593,-100.796036602
209,-113.782206168,-100.794214806
210,-113.758220275,-100.792415379
211,-113.734343049,-100.790638032
212,-113.710573638,-100.78888248
213,-113.686911199,-100.787148444
214,-113.663354899,-100.785435644
215,-113.639903914,-100.783743809
216,-113.616557433,-100.782072668
217,-113.593314652,-100.780421957
218,-113.570174777,-100.778791412
219,-113.547137023,-100.777180776
220,-113.524200616,-100.775589792
221,-113.501364788,-100.774018211
222,-113.478628783,-100.772465783
223,-113.455991852,-100.770932264
224,-113.433453255,-100.769417413
225,-113.411012259,-100.767920992
226,-113.388668143,-100.766442765
227,-113.366420189,-100.764982502
228,-113.344267692,-100.763539973
229,-113.322209953,-100.762114953
230,-113.300246278,-100.760707221
231,-113.278375986,-100.759316555
232,-113.256598399,-100.757942741
233,-113.234912849,-100.756585565
234,-113.213318675,-100.755244816
235,-113.191815221,-100.753920286
236,-113.170401841,-100.752611771
237,-113.149077895,-100.751319068
238,-113.127842749,-100.750041977
239,-113.106695777,-100.748780303
240,-113.085636359,-100.74753385
241,-113.064663881,-100.746302427
242,-113.043777737,-100.745085845
243,-113.022977327,-100.743883918
244,-113.002262055,-100.742696461
245,-112.981631335,-100.741523293
246,-112.961084583,-100.740364235
247,-112.940621225,-100.73921911
248,-112.920240691,-100.738087744
249,-112.899942416,-100.736969964
250,-112.879725842,-100.7358656
251,-112.859590416,-100.734774485
252,-112.839535592,-100.733696454
253,-112.819560828,-100.732631344
254,-112.799665587,-100.731578992
255,-112.77984934,-100.730539241
256,-112.76011156,-100.729511934
257,-112.740451727,-100.728496915
258,-112.720869327,-100.727494032
259,-112.701363849,-100.726503135
260,-112.681934789,-100.725524074
261,-112.662581646,-100.724556702
262,-112.643303925,-100.723600876
263,-112.624101136,-100.722656451
264,-112.604972794,-100.721723287
265,-112.585918416,-100.720801244
266,-112.566937528,-100.719890186
267,-112.548029656,-100.718989975
268,-112.529194335,-100.718100479
269,-112.510431101,-100.717221564
270,-112.491739495,-100.716353102
271,-112.473119064,-100.715494962
272,-112.454569357,-100.714647018
273,-112.436089929,-100.713809144
274,-112.417680339,-100.712981217
275,-112.399340149,-100.712163113
276,-112.381068925,-100.711354714
277,-112.362866239,-100.710555899
278,-112.344731665,-100.70976655
279,-112.326664781,-100.708986553
280,-112.30866517,-100.708215791
281,-112.290732418,-100.707454153
282,-112.272866114,-100.706701527
283,-112.255065853,-100.705957801
284,-112.237331232,-100.705222869
285,-112.219661851,-100.704496621
286,-112.202057315,-100.703778953
287,-112.184517232,-100.703069759
288,-112.167041214,-100.702368936
289,-112.149628875,-100.701676382
290,-112.132279833,-100.700991997
291,-112.114993711,-100.70031568
292,-112.097770133,-100.699647335
293,-112.080608728,-100.698986863
294,-112.063509127,-100.69833417
295,-112.046470964,-100.69768916
296,-112.029493878,-100.697051741
297,-112.01257751,-100.69642182
298,-111.995721504,-100.695799307
299,-111.978925506,-100.695184112
300,-111.962189168,-100.694576146
