Iterations,Adagrad,AdagradG
0,-10847.0602286,-10847.0602286
1,-10551.5171345,-23067.0122476
2,-10359.9679335,-10108.1206599
3,-10213.0482051,-10123.8076826
4,-10092.2690938,-12851.6050531
5,-9989.09494642,-7673.23435185
6,-9898.77036213,-7579.13435846
7,-9818.33028022,-7504.42796852
8,-9745.78087847,-7437.45471531
9,-9679.70652475,-7375.59119837
10,-9619.05997272,-7318.98258997
11,-9563.04119378,-7266.67946644
12,-9511.02301234,-7222.19495502
13,-9462.50320034,-7180.92972463
14,-9417.07237152,-7155.45206367
15,-9374.39174382,-7126.06827795
16,-9334.17730172,-7132.28138642
17,-9296.18824375,-7106.03750583
18,-9260.21837949,-7155.61759499
19,-9226.08960562,-7100.86643059
20,-9193.64687872,-7182.71014472
21,-9162.75428593,-7065.95348295
22,-9133.29193415,-7141.49689389
23,-9105.15345891,-6984.58507656
24,-9078.24400852,-7026.7696689
25,-9052.47859739,-6880.75870043
26,-9027.78074911,-6890.79544565
27,-9004.08136955,-6778.13505914
28,-8981.31780402,-6767.88189738
29,-8959.43304306,-6686.76516374
30,-8938.37504939,-6666.56586246
31,-8918.09618402,-6608.64973865
32,-8898.55271441,-6584.96389756
33,-8879.70439075,-6542.62223503
34,-8861.51407921,-6518.8445599
35,-8843.94744303,-6486.60243322
36,-8826.9726642,-6464.22586076
37,-8810.56019945,-6438.48451986
38,-8794.6825656,-6417.96507983
39,-8779.31415011,-6396.44975868
40,-8764.43104322,-6377.74745643
41,-8750.01088888,-6359.04577872
42,-8736.03275185,-6341.93016632
43,-8722.47699896,-6325.17097791
44,-8709.32519271,-6309.3761777
45,-8696.55999567,-6294.02164111
46,-8684.16508442,-6279.31276583
47,-8672.12507183,-6265.02817356
48,-8660.42543678,-6251.22038851
49,-8649.05246041,-6237.79392992
50,-8637.99316828,-6224.74966633
51,-8627.23527758,-6212.04341694
52,-8616.76714919,-6199.66207494
53,-8606.5777437,-6187.58230429
54,-8596.65658124,-6175.78944094
55,-8586.9937047,-6164.26882714
56,-8577.57964587,-6153.00749142
57,-8568.40539436,-6141.99462915
58,-8559.46236896,-6131.21929918
59,-8550.74239125,-6120.67261742
60,-8542.23766119,-6110.34530218
61,-8533.94073457,-6100.22959318
62,-8525.84450216,-6090.3174568
63,-8517.94217028,-6080.60191072
64,-8510.22724288,-6071.07586314
65,-8502.69350485,-6061.73294602
66,-8495.33500642,-6052.56680451
67,-8488.14604876,-6043.57159616
68,-8481.12117044,-6034.7415679
69,-8474.25513484,-6026.0713457
70,-8467.54291843,-6017.55568614
71,-8460.97969969,-6009.18963995
72,-8454.56084889,-6000.96840696
73,-8448.28191839,-5992.88742558
74,-8442.1386336,-5984.94228794
75,-8436.12688452,-5977.12878689
76,-8430.24271773,-5969.44286571
77,-8424.48232888,-5961.88064126
78,-8418.84205569,-5954.43837349
79,-8413.31837125,-5947.11247536
80,-8407.9078778,-5939.8994937
81,-8402.60730079,-5932.79611209
82,-8397.41348335,-5925.79913813
83,-8392.32338099,-5918.90550275
84,-8387.33405668,-5912.11225118
85,-8382.4426761,-5905.41654051
86,-8377.64650321,-5898.81563295
87,-8372.94289606,-5892.30689257
88,-8368.32930278,-5885.88777995
89,-8363.80325779,-5879.55584872
90,-8359.36237823,-5873.30874111
91,-8355.00436057,-5867.14418454
92,-8350.72697733,-5861.05998774
93,-8346.52807407,-5855.0540376
94,-8342.40556641,-5849.12429569
95,-8338.35743731,-5843.26879534
96,-8334.38173437,-5837.48563856
97,-8330.47656735,-5831.77299332
98,-8326.64010578,-5826.12909078
99,-8322.87057664,-5820.55222281
100,-8319.16626223,-5815.04073949
101,-8315.52549803,-5809.5930468
102,-8311.94667078,-5804.20760439
103,-8308.42821653,-5798.88292348
104,-8304.9686189,-5793.61756479
105,-8301.56640726,-5788.41013661
106,-8298.22015517,-5783.25929298
107,-8294.92847873,-5778.16373187
108,-8291.69003511,-5773.12219352
109,-8288.50352108,-5768.13345883
110,-8285.36767164,-5763.19634775
111,-8282.28125867,-5758.30971786
112,-8279.24308967,-5753.47246294
113,-8276.25200656,-5748.68351157
114,-8273.30688447,-5743.94182589
115,-8270.40663065,-5739.2464003
116,-8267.55018338,-5734.5962603
117,-8264.73651093,-5729.99046132
118,-8261.96461058,-5725.42808768
119,-8259.23350767,-5720.90825144
120,-8256.54225465,-5716.43009151
121,-8253.88993026,-5711.99277259
122,-8251.2756386,-5707.59548428
123,-8248.6985084,-5703.23744022
124,-8246.15769219,-5698.91787716
125,-8243.65236553,-5694.63605424
126,-8241.18172633,-5690.39125211
127,-8238.74499412,-5686.18277223
128,-8236.3414094,-5682.00993614
129,-8233.97023293,-5677.87208476
130,-8231.63074521,-5673.7685777
131,-8229.32224576,-5669.69879263
132,-8227.04405264,-5665.6621247
133,-8224.79550182,-5661.65798588
134,-8222.57594666,-5657.68580443
135,-8220.38475742,-5653.74502434
136,-8218.22132069,-5649.83510481
137,-8216.08503898,-5645.95551973
138,-8213.97533018,-5642.1057572
139,-8211.89162715,-5638.28531905
140,-8209.83337729,-5634.49372041
141,-8207.80004207,-5630.73048924
142,-8205.79109665,-5626.99516593
143,-8203.80602951,-5623.28730289
144,-8201.84434201,-5619.60646418
145,-8199.90554807,-5615.9522251
146,-8197.98917379,-5612.32417186
147,-8196.09475709,-5608.72190123
148,-8194.22184741,-5605.14502016
149,-8192.37000537,-5601.59314552
150,-8190.53880245,-5598.06590375
151,-8188.72782069,-5594.56293057
152,-8186.93665239,-5591.08387069
153,-8185.16489985,-5587.62837751
154,-8183.41217507,-5584.1961129
155,-8181.67809947,-5580.78674689
156,-8179.96230369,-5577.39995744
157,-8178.26442727,-5574.0354302
158,-8176.58411845,-5570.69285826
159,-8174.92103391,-5567.37194195
160,-8173.27483856,-5564.0723886
161,-8171.64520532,-5560.79391234
162,-8170.03181488,-5557.53623389
163,-8168.43435551,-5554.29908037
164,-8166.85252288,-5551.08218511
165,-8165.28601981,-5547.88528748
166,-8163.73455613,-5544.70813266
167,-8162.19784845,-5541.55047153
168,-8160.67562004,-5538.4120605
169,-8159.16760058,-5535.29266129
170,-8157.67352608,-5532.19204085
171,-8156.19313863,-5529.10997117
172,-8154.72618629,-5526.04622913
173,-8153.27242294,-5523.00059639
174,-8151.83160809,-5519.97285924
175,-8150.40350678,-5516.96280845
176,-8148.9878894,-5513.97023917
177,-8147.58453158,-5510.99495081
178,-8146.19321404,-5508.0367469
179,-8144.81372246,-5505.09543498
180,-8143.44584737,-5502.17082651
181,-8142.08938401,-5499.26273674
182,-8140.74413222,-5496.37098461
183,-8139.4098963,-5493.49539266
184,-8138.08648496,-5490.63578693
185,-8136.77371111,-5487.79199684
186,-8135.47139187,-5484.96385516
187,-8134.17934837,-5482.15119783
188,-8132.89740569,-5479.35386396
189,-8131.62539276,-5476.57169572
190,-8130.36314228,-5473.80453821
191,-8129.11049058,-5471.05223947
192,-8127.86727758,-5468.31465033
193,-8126.63334668,-5465.59162438
194,-8125.40854466,-5462.88301787
195,-8124.19272163,-5460.18868966
196,-8122.98573092,-5457.50850116
197,-8121.78742901,-5454.84231624
198,-8120.59767547,-5452.19000118
199,-8119.41633287,-5449.55142461
200,-8118.24326667,-5446.92645747
201,-8117.07834525,-5444.31497289
202,-8115.92143972,-5441.71684622
203,-8114.77242396,-5439.13195492
204,-8113.63117445,-5436.5601785
205,-8112.49757032,-5434.00139852
206,-8111.3714932,-5431.4554985
207,-8110.25282717,-5428.92236387
208,-8109.14145877,-5426.40188195
209,-8108.03727686,-5423.89394189
210,-8106.94017259,-5421.39843462
211,-8105.85003938,-5418.91525281
212,-8104.76677283,-5416.44429086
213,-8103.69027066,-5413.98544479
214,-8102.62043271,-5411.53861229
215,-8101.55716084,-5409.1036926
216,-8100.50035891,-5406.68058652
217,-8099.4499327,-5404.26919637
218,-8098.40578993,-5401.86942595
219,-8097.36784015,-5399.48118048
220,-8096.33599473,-5397.10436662
221,-8095.3101668,-5394.7388924
222,-8094.29027123,-5392.38466719
223,-8093.27622459,-5390.04160169
224,-8092.26794507,-5387.70960788
225,-8091.2653525,-5385.388599
226,-8090.26836829,-5383.07848954
227,-8089.27691535,-5380.77919518
228,-8088.29091815,-5378.49063277
229,-8087.31030258,-5376.21272034
230,-8086.33499601,-5373.94537702
231,-8085.36492717,-5371.68852307
232,-8084.40002621,-5369.44207982
233,-8083.44022459,-5367.20596964
234,-8082.48545509,-5364.98011598
235,-8081.53565177,-5362.76444325
236,-8080.59074995,-5360.5588769
237,-8079.65068617,-5358.36334333
238,-8078.71539817,-5356.17776988
239,-8077.78482487,-5354.00208486
240,-8076.85890631,-5351.83621745
241,-8075.93758367,-5349.68009777
242,-8075.02079922,-5347.53365677
243,-8074.10849632,-5345.3968263
244,-8073.20061934,-5343.26953902
245,-8072.2971137,-5341.15172845
246,-8071.39792581,-5339.04332889
247,-8070.50300308,-5336.94427545
248,-8069.61229385,-5334.85450401
249,-8068.72574742,-5332.77395122
250,-8067.843314,-5330.70255447
251,-8066.96494469,-5328.6402519
252,-8066.09059148,-5326.58698235
253,-8065.22020721,-5324.54268538
254,-8064.35374557,-5322.50730124
255,-8063.49116106,-5320.48077086
256,-8062.632409,-5318.46303584
257,-8061.77744548,-5316.45403844
258,-8060.92622739,-5314.45372156
259,-8060.07871233,-5312.46202872
260,-8059.23485867,-5310.47890407
261,-8058.39462551,-5308.50429239
262,-8057.55797263,-5306.53813902
263,-8056.72486053,-5304.58038991
264,-8055.89525036,-5302.6309916
265,-8055.06910395,-5300.68989117
266,-8054.24638378,-5298.75703627
267,-8053.42705298,-5296.83237511
268,-8052.61107526,-5294.91585642
269,-8051.79841499,-5293.00742946
270,-8050.98903711,-5291.10704402
271,-8050.18290715,-5289.21465041
272,-8049.3799912,-5287.33019942
273,-8048.58025595,-5285.45364235
274,-8047.7836686,-5283.58493098
275,-8046.9901969,-5281.72401758
276,-8046.19980914,-5279.87085488
277,-8045.41247411,-5278.02539607
278,-8044.62816112,-5276.18759481
279,-8043.84683997,-5274.35740519
280,-8043.06848095,-5272.53478176
281,-8042.29305481,-5270.7196795
282,-8041.52053279,-5268.9120538
283,-8040.75088656,-5267.11186049
284,-8039.98408827,-5265.31905581
285,-8039.2201105,-5263.5335964
286,-8038.45892623,-5261.75543932
287,-8037.7005089,-5259.984542
288,-8036.94483235,-5258.22086228
289,-8036.19187083,-5256.46435838
290,-8035.44159896,-5254.71498889
291,-8034.6939918,-5252.97271279
292,-8033.94902474,-5251.23748939
293,-8033.20667358,-5249.50927841
294,-8032.46691447,-5247.78803989
295,-8031.72972393,-5246.07373424
296,-8030.99507883,-5244.36632221
297,-8030.26295638,-5242.66576489
298,-8029.53333414,-5240.97202371
299,-8028.80618999,-5239.28506043
300,-8028.08150214,-5237.60483713
