Iterations,Adagrad,AdagradG
0,-262.702781432,-262.702781432
1,-260.850144301,-536.842937736
2,-259.670990899,-281.679128147
3,-258.776335571,-270.284890098
4,-258.046624042,-242.667020345
5,-257.4270186,-234.789189644
6,-256.887103291,-227.270781501
7,-256.407980095,-223.92872444
8,-255.976979895,-220.954686805
9,-255.585132487,-219.145482546
10,-255.225819478,-217.535180287
11,-254.89399793,-216.347693271
12,-254.58572477,-215.289398213
13,-254.297850905,-214.420361399
14,-254.027816537,-213.640664231
15,-253.773509578,-212.961302962
16,-253.533164943,-212.344868932
17,-253.305291182,-211.789344214
18,-253.088615894,-211.279107836
19,-252.882044384,-210.809938079
20,-252.684627824,-210.374384489
21,-252.495538392,-209.96875771
22,-252.314049599,-209.588954719
23,-252.139520539,-209.232195095
24,-251.971383153,-208.895905068
25,-251.809131817,-208.578038801
26,-251.652314766,-208.276811303
27,-251.50052696,-207.990691463
28,-251.353404116,-207.718352669
29,-251.21061767,-207.458616867
30,-251.071870501,-207.210453063
31,-250.936893274,-206.972931328
32,-250.805441305,-206.745227591
33,-250.677291848,-206.526593136
34,-250.552241735,-206.316357486
35,-250.430105328,-206.113909171
36,-250.310712715,-205.918696267
37,-250.19390813,-205.730214222
38,-250.079548551,-205.548004928
39,-249.967502465,-205.371648801
40,-249.85764877,-205.200763158
41,-249.749875788,-205.03499687
42,-249.644080398,-204.874028526
43,-249.540167245,-204.717562688
44,-249.438048041,-204.565328099
45,-249.337640932,-204.417074953
46,-249.238869926,-204.272573283
47,-249.141664385,-204.131610902
48,-249.04595856,-203.993991998
49,-248.951691171,-203.859535554
50,-248.858805028,-203.728074142
51,-248.767246692,-203.599452682
52,-248.676966159,-203.473527429
53,-248.587916582,-203.350164981
54,-248.500054011,-203.229241431
55,-248.413337165,-203.110641562
56,-248.327727217,-202.994258145
57,-248.243187602,-202.879991277
58,-248.159683843,-202.7677478
59,-248.07718339,-202.657440752
60,-247.995655474,-202.548988887
61,-247.915070979,-202.442316217
62,-247.835402312,-202.337351612
63,-247.756623301,-202.234028422
64,-247.678709089,-202.132284136
65,-247.601636041,-202.032060073
66,-247.525381662,-201.933301092
67,-247.449924518,-201.835955332
68,-247.375244163,-201.739973971
69,-247.301321075,-201.645311008
70,-247.228136598,-201.551923055
71,-247.155672883,-201.459769155
72,-247.083912838,-201.36881061
73,-247.012840084,-201.279010822
74,-246.942438907,-201.19033515
75,-246.872694223,-201.102750772
76,-246.803591536,-201.016226566
77,-246.73511691,-200.930732995
78,-246.667256931,-200.846241999
79,-246.599998682,-200.762726902
80,-246.533329716,-200.680162319
81,-246.467238026,-200.598524072
82,-246.401712029,-200.517789117
83,-246.336740537,-200.437935471
84,-246.272312741,-200.358942143
85,-246.20841819,-200.280789076
86,-246.145046777,-200.203457089
87,-246.082188716,-200.126927826
88,-246.019834532,-200.051183701
89,-245.957975044,-199.976207861
90,-245.896601353,-199.901984137
91,-245.835704828,-199.828497005
92,-245.775277093,-199.755731553
93,-245.715310019,-199.683673445
94,-245.655795711,-199.612308885
95,-245.596726498,-199.541624594
96,-245.538094925,-199.471607777
97,-245.479893742,-199.402246098
98,-245.422115899,-199.333527659
99,-245.364754534,-199.265440972
100,-245.307802969,-199.197974941
101,-245.251254701,-199.131118842
102,-245.195103396,-199.064862304
103,-245.139342881,-198.99919529
104,-245.083967141,-198.934108083
105,-245.028970311,-198.869591269
106,-244.974346672,-198.805635722
107,-244.920090643,-198.742232592
108,-244.866196779,-198.679373293
109,-244.812659766,-198.617049488
110,-244.759474416,-198.555253079
111,-244.706635661,-198.493976197
112,-244.654138552,-198.433211192
113,-244.601978252,-198.372950623
114,-244.550150036,-198.313187247
115,-244.498649283,-198.253914016
116,-244.447471477,-198.195124064
117,-244.3966122,-198.136810701
118,-244.346067132,-198.078967405
119,-244.295832044,-198.021587819
120,-244.245902802,-197.96466574
121,-244.196275355,-197.908195114
122,-244.14694574,-197.852170034
123,-244.097910077,-197.796584729
124,-244.049164565,-197.741433562
125,-244.000705482,-197.686711026
126,-243.952529181,-197.632411735
127,-243.904632089,-197.578530427
128,-243.857010703,-197.525061949
129,-243.809661592,-197.472001266
130,-243.762581392,-197.419343445
131,-243.715766802,-197.36708366
132,-243.669214587,-197.315217183
133,-243.622921576,-197.263739385
134,-243.576884654,-197.21264573
135,-243.531100769,-197.161931772
136,-243.485566923,-197.111593154
137,-243.440280177,-197.061625604
138,-243.395237645,-197.012024931
139,-243.350436492,-196.962787026
140,-243.305873938,-196.913907856
141,-243.261547252,-196.865383464
142,-243.21745375,-196.817209966
143,-243.1735908,-196.769383549
144,-243.129955812,-196.721900468
145,-243.086546246,-196.674757045
146,-243.043359603,-196.627949667
147,-243.000393428,-196.581474786
148,-242.957645311,-196.535328912
149,-242.915112879,-196.489508617
150,-242.872793803,-196.444010531
151,-242.830685791,-196.39883134
152,-242.78878659,-196.353967786
153,-242.747093986,-196.309416663
154,-242.7056058,-196.265174818
155,-242.664319889,-196.22123915
156,-242.623234145,-196.177606607
157,-242.582346496,-196.134274184
158,-242.541654901,-196.091238924
159,-242.501157354,-196.048497918
160,-242.460851879,-196.006048299
161,-242.420736533,-195.963887245
162,-242.380809403,-195.922011978
163,-242.341068604,-195.88041976
164,-242.301512284,-195.839107894
165,-242.262138618,-195.798073724
166,-242.222945808,-195.757314632
167,-242.183932085,-195.716828038
168,-242.145095707,-195.6766114
169,-242.106434956,-195.636662212
170,-242.067948143,-195.596978003
171,-242.029633603,-195.557556338
172,-241.991489695,-195.518394814
173,-241.953514802,-195.479491064
174,-241.915707334,-195.440842751
175,-241.87806572,-195.402447572
176,-241.840588414,-195.364303254
177,-241.803273893,-195.326407554
178,-241.766120654,-195.288758261
179,-241.729127217,-195.251353192
180,-241.692292123,-195.214190193
181,-241.655613933,-195.177267137
182,-241.619091228,-195.140581927
183,-241.58272261,-195.104132491
184,-241.5465067,-195.067916784
185,-241.510442137,-195.031932788
186,-241.474527581,-194.996178509
187,-241.438761709,-194.96065198
188,-241.403143216,-194.925351256
189,-241.367670815,-194.890274418
190,-241.332343236,-194.855419569
191,-241.297159226,-194.820784838
192,-241.262117551,-194.786368373
193,-241.22721699,-194.752168347
194,-241.192456341,-194.718182955
195,-241.157834415,-194.684410412
196,-241.123350042,-194.650848955
197,-241.089002065,-194.617496841
198,-241.054789342,-194.584352348
199,-241.020710747,-194.551413775
200,-240.986765167,-194.51867944
201,-240.952951505,-194.486147679
202,-240.919268677,-194.453816848
203,-240.885715612,-194.421685323
204,-240.852291254,-194.389751496
205,-240.81899456,-194.35801378
206,-240.785824498,-194.326470602
207,-240.752780053,-194.29512041
208,-240.719860218,-194.263961667
209,-240.687064002,-194.232992853
210,-240.654390424,-194.202212467
211,-240.621838515,-194.171619022
212,-240.58940732,-194.141211047
213,-240.557095893,-194.110987088
214,-240.524903302,-194.080945706
215,-240.492828623,-194.051085477
216,-240.460870945,-194.021404994
217,-240.429029368,-193.991902863
218,-240.397303003,-193.962577704
219,-240.365690969,-193.933428154
220,-240.334192399,-193.904452862
221,-240.302806433,-193.875650491
222,-240.271532223,-193.847019721
223,-240.24036893,-193.81855924
224,-240.209315725,-193.790267755
225,-240.178371788,-193.762143983
226,-240.147536308,-193.734186653
227,-240.116808486,-193.70639451
228,-240.086187529,-193.67876631
229,-240.055672654,-193.651300822
230,-240.025263087,-193.623996825
231,-239.994958063,-193.596853112
232,-239.964756824,-193.569868489
233,-239.934658623,-193.543041772
234,-239.90466272,-193.516371788
235,-239.874768381,-193.489857377
236,-239.844974885,-193.463497391
237,-239.815281513,-193.43729069
238,-239.785687559,-193.411236147
239,-239.756192322,-193.385332646
240,-239.726795109,-193.359579081
241,-239.697495234,-193.333974356
242,-239.668292021,-193.308517388
243,-239.639184796,-193.283207101
244,-239.610172898,-193.25804243
245,-239.58125567,-193.233022321
246,-239.552432462,-193.20814573
247,-239.52370263,-193.18341162
248,-239.49506554,-193.158818967
249,-239.466520561,-193.134366756
250,-239.438067072,-193.110053978
251,-239.409704454,-193.085879637
252,-239.381432099,-193.061842744
253,-239.353249403,-193.03794232
254,-239.325155768,-193.014177396
255,-239.297150602,-192.990547008
256,-239.269233321,-192.967050205
257,-239.241403345,-192.943686041
258,-239.213660099,-192.920453581
259,-239.186003018,-192.897351898
260,-239.158431537,-192.874380072
261,-239.130945101,-192.851537191
262,-239.10354316,-192.828822354
263,-239.076225166,-192.806234664
264,-239.04899058,-192.783773234
265,-239.021838868,-192.761437185
266,-238.9947695,-192.739225646
267,-238.967781952,-192.717137751
268,-238.940875703,-192.695172645
269,-238.914050241,-192.673329477
270,-238.887305056,-192.651607407
271,-238.860639644,-192.630005599
272,-238.834053505,-192.608523226
273,-238.807546144,-192.587159467
274,-238.781117072,-192.56591351
275,-238.754765804,-192.544784547
276,-238.728491858,-192.523771779
277,-238.702294759,-192.502874413
278,-238.676174035,-192.482091664
279,-238.650129219,-192.46142275
280,-238.624159848,-192.440866901
281,-238.598265464,-192.420423348
282,-238.572445611,-192.400091333
283,-238.546699841,-192.3798701
284,-238.521027708,-192.359758904
285,-238.495428769,-192.339757003
286,-238.469902587,-192.31986366
287,-238.444448728,-192.300078149
288,-238.419066762,-192.280399745
289,-238.393756264,-192.260827732
290,-238.368516811,-192.241361398
291,-238.343347986,-192.222000038
292,-238.318249374,-192.202742953
293,-238.293220564,-192.183589448
294,-238.268261149,-192.164538835
295,-238.243370725,-192.145590433
296,-238.218548894,-192.126743563
297,-238.193795258,-192.107997553
298,-238.169109425,-192.089351739
299,-238.144491005,-192.070805459
300,-238.119939613,-192.052358056
