Iterations,Adagrad,AdagradG
0,-398.559628822,-398.559628822
1,-392.173268125,-665.360975106
2,-387.944886657,-327.672489451
3,-384.650824882,-329.853911113
4,-381.907041868,-340.981015724
5,-379.535546959,-335.690712306
6,-377.436912527,-345.729018208
7,-375.549013329,-328.74809339
8,-373.829998435,-330.762642511
9,-372.250104716,-322.317969328
10,-370.78728045,-321.976048137
11,-369.424654699,-318.51883985
12,-368.148982546,-317.917778591
13,-366.949642603,-316.476898357
14,-365.817964583,-316.036065628
15,-364.746763208,-315.400421114
16,-363.730006021,-315.123473748
17,-362.762570919,-314.818055902
18,-361.840065483,-314.646309488
19,-360.958689882,-314.481327229
20,-360.115131175,-314.36870216
21,-359.306480652,-314.26602678
22,-358.53016835,-314.185194356
23,-357.783910601,-314.111632872
24,-357.065667549,-314.047953598
25,-356.373608439,-313.988952859
26,-355.706083004,-313.934912569
27,-355.061597675,-313.883875178
28,-354.438795683,-313.835658121
29,-353.83644028,-313.789471492
30,-353.253400518,-313.7451113
31,-352.68863911,-313.702227571
32,-352.141202031,-313.660669517
33,-351.610209547,-313.620262557
34,-351.09484845,-313.580902898
35,-350.594365302,-313.542490906
36,-350.108060533,-313.504953903
37,-349.635283272,-313.468227149
38,-349.175426785,-313.432257328
39,-348.727924458,-313.396997725
40,-348.292246233,-313.362407248
41,-347.867895434,-313.32844963
42,-347.454405946,-313.295091898
43,-347.051339687,-313.262304555
44,-346.658284346,-313.230060357
45,-346.27485134,-313.198334629
46,-345.900673989,-313.167104404
47,-345.535405851,-313.136348678
48,-345.178719227,-313.106047826
49,-344.8303038,-313.076183763
50,-344.489865398,-313.046739557
51,-344.157124865,-313.017699515
52,-343.83181704,-312.989048921
53,-343.51368981,-312.960774073
54,-343.202503256,-312.932862104
55,-342.89802886,-312.905300991
56,-342.600048781,-312.878079427
57,-342.308355189,-312.851186814
58,-342.02274965,-312.824613168
59,-341.743042558,-312.798349108
60,-341.469052612,-312.772385782
61,-341.200606328,-312.746714849
62,-340.937537595,-312.72132843
63,-340.679687251,-312.696219082
64,-340.426902702,-312.671379761
65,-340.179037559,-312.646803801
66,-339.935951301,-312.62248488
67,-339.697508965,-312.598417003
68,-339.463580855,-312.574594479
69,-339.234042267,-312.551011895
70,-339.008773234,-312.527664105
71,-338.787658293,-312.504546208
72,-338.570586256,-312.481653532
73,-338.357450001,-312.458981624
74,-338.148146281,-312.436526228
75,-337.942575532,-312.414283281
76,-337.740641707,-312.392248895
77,-337.542252106,-312.370419348
78,-337.347317228,-312.348791074
79,-337.155750622,-312.327360657
80,-336.967468754,-312.306124813
81,-336.782390874,-312.285080392
82,-336.6004389,-312.264224363
83,-336.421537297,-312.243553813
84,-336.245612973,-312.223065934
85,-336.072595172,-312.202758022
86,-335.902415381,-312.182627467
87,-335.735007233,-312.162671752
88,-335.570306422,-312.142888446
89,-335.408250622,-312.123275195
90,-335.248779403,-312.103829727
91,-335.09183416,-312.084549839
92,-334.93735804,-312.065433397
93,-334.785295876,-312.046478333
94,-334.635594119,-312.027682639
95,-334.488200781,-312.009044366
96,-334.343065375,-311.990561622
97,-334.200138858,-311.972232565
98,-334.059373579,-311.954055404
99,-333.920723228,-311.936028395
100,-333.784142788,-311.91814984
101,-333.649588489,-311.900418084
102,-333.517017763,-311.882831512
103,-333.386389204,-311.865388547
104,-333.257662525,-311.848087651
105,-333.13079852,-311.83092732
106,-333.005759029,-311.813906086
107,-332.882506901,-311.79702251
108,-332.761005962,-311.780275186
109,-332.641220978,-311.763662737
110,-332.52311763,-311.747183813
111,-332.40666248,-311.730837093
112,-332.291822945,-311.71462128
113,-332.178567268,-311.698535103
114,-332.066864491,-311.682577315
115,-331.956684432,-311.66674669
116,-331.847997659,-311.651042024
117,-331.740775466,-311.635462137
118,-331.634989855,-311.620005866
119,-331.530613508,-311.604672068
120,-331.42761977,-311.58945962
121,-331.32598263,-311.574367416
122,-331.225676697,-311.559394368
123,-331.126677188,-311.544539404
124,-331.028959904,-311.529801469
125,-330.932501219,-311.515179523
126,-330.837278055,-311.500672541
127,-330.743267876,-311.486279512
128,-330.650448664,-311.471999442
129,-330.558798911,-311.457831348
130,-330.468297597,-311.44377426
131,-330.378924186,-311.429827222
132,-330.290658603,-311.41598929
133,-330.203481226,-311.402259534
134,-330.117372874,-311.388637032
135,-330.032314793,-311.375120876
