Iterations,NAG,NAGG
0,-1094.20872853,-1094.35502481
1,-1086.76381804,-1084.69511755
2,-1081.10626014,-1075.99680231
3,-1076.52486751,-1066.13259929
4,-1072.34257528,-1055.44298376
5,-1068.38222459,-1044.25189518
6,-1064.59681857,-1032.85683988
7,-1060.96172323,-1021.51971942
8,-1057.46088871,-1010.46037802
9,-1054.08278128,-999.853585996
10,-1050.8185725,-989.829380767
11,-1047.66115974,-980.476173099
12,-1044.60459381,-971.845768254
13,-1041.64373225,-963.95941556
14,-1038.77402312,-956.814117991
15,-1035.99136533,-950.388629664
16,-1033.2920147,-944.648779702
17,-1030.67251834,-939.551945102
18,-1028.12966701,-935.05063454
19,-1025.66045961,-931.095237033
20,-1023.26207595,-927.636040642
21,-1020.93185553,-924.624646963
22,-1018.66728054,-922.014907287
23,-1016.46596212,-919.763494527
24,-1014.32562895,-917.830207619
25,-1012.2441177,-916.178086381
26,-1010.21936482,-914.773397172
27,-1008.24939944,-913.585534443
28,-1006.33233723,-912.586870757
29,-1004.46637485,-911.752578098
30,-1002.64978509,-911.060435891
31,-1000.88091248,-910.490635779
32,-999.158169261,-910.025589379
33,-997.480031768,-909.64974265
34,-995.845037105,-909.349398779
35,-994.251780064,-909.11255043
36,-992.698910282,-908.928721564
37,-991.185129602,-908.788818723
38,-989.70918961,-908.684991521
39,-988.269889331,-908.610502053
40,-986.866073074,-908.559602981
41,-985.496628396,-908.5274241
42,-984.160484199,-908.509867219
43,-982.856608919,-908.503509263
44,-981.58400883,-908.505513485
45,-980.341726424,-908.51354867
46,-979.128838886,-908.525716191
47,-977.944456643,-908.540484721
48,-976.787721988,-908.556632327
49,-975.657807763,-908.573195621
50,-974.553916124,-908.58942558
51,-973.475277341,-908.604749539
52,-972.421148678,-908.618738878
53,-971.390813306,-908.631081816
54,-970.383579278,-908.641560766
55,-969.398778547,-908.650033648
56,-968.435766024,-908.656418616
57,-967.493918683,-908.660681656
58,-966.572634708,-908.662826582
59,-965.671332667,-908.662886972
60,-964.789450731,-908.660919709
61,-963.926445928,-908.656999774
62,-963.081793416,-908.651216085
63,-962.254985806,-908.643668157
64,-961.445532495,-908.634463455
65,-960.652959041,-908.623715332
66,-959.876806555,-908.611541475
67,-959.116631125,-908.598062793
68,-958.372003258,-908.583402705
69,-957.64250735,-908.567686775
70,-956.927741175,-908.551042626
71,-956.227315391,-908.533600087
72,-955.540853077,-908.515491474
73,-954.867989277,-908.496851934
74,-954.20837057,-908.477819752
75,-953.561654652,-908.458536532
76,-952.927509938,-908.439147152
77,-952.30561518,-908.419799432
78,-951.695659099,-908.40064344
79,-951.097340029,-908.381830403
80,-950.51036558,-908.3635112
81,-949.93445231,-908.345834473
82,-949.369325413,-908.328944371
83,-948.814718417,-908.31297802
84,-948.270372893,-908.298062802
85,-947.736038177,-908.284313553
86,-947.211471104,-908.271829811
87,-946.696435745,-908.260693236
88,-946.190703166,-908.250965334
89,-945.694051185,-908.242685599
90,-945.206264144,-908.235870179
91,-944.727132686,-908.230511135
92,-944.256453547,-908.226576354
93,-943.794029348,-908.224010143
94,-943.339668397,-908.222734487
95,-942.893184504,-908.222650942
96,-942.454396793,-908.2236431
97,-942.023129531,-908.22557954
98,-941.599211956,-908.228317151
99,-941.182478112,-908.231704721
100,-940.772766698,-908.235586657
101,-940.369920908,-908.239806712
102,-939.973788294,-908.244211591
103,-939.584220619,-908.248654328
104,-939.201073722,-908.252997341
105,-938.82420739,-908.257115069
106,-938.453485231,-908.26089614
107,-938.08877455,-908.264245038
108,-937.729946235,-908.267083235
109,-937.376874643,-908.269349803
110,-937.029437489,-908.271001528
111,-936.687515742,-908.272012548
112,-936.350993526,-908.272373592
113,-936.019758016,-908.272090854
114,-935.693699349,-908.271184585
115,-935.372710532,-908.269687459
116,-935.056687349,-908.267642797
117,-934.745528282,-908.265102702
118,-934.439134426,-908.262126162
119,-934.137409407,-908.258777193
120,-933.840259313,-908.255123048
121,-933.54759261,-908.251232534
122,-933.259320079,-908.247174475
123,-932.975354741,-908.243016328
124,-932.695611795,-908.238822973
125,-932.420008549,-908.234655674
126,-932.14846436,-908.230571226
127,-931.880900575,-908.226621264
128,-931.617240469,-908.222851748
129,-931.357409191,-908.219302585
130,-931.101333709,-908.216007415
131,-930.84894276,-908.212993505
132,-930.600166792,-908.210281771
133,-930.354937923,-908.207886899
134,-930.113189888,-908.205817557
135,-929.874857993,-908.204076683
136,-929.639879074,-908.202661846
137,-929.408191449,-908.201565652
138,-929.179734879,-908.200776204
139,-928.95445053,-908.200277599
140,-928.732280926,-908.200050442
141,-928.51316992,-908.200072386
142,-928.297062651,-908.200318676
143,-928.08390551,-908.200762692
144,-927.873646108,-908.201376488
145,-927.666233239,-908.20213131
146,-927.461616851,-908.202998095
147,-927.259748011,-908.20394794
148,-927.060578878,-908.204952535
149,-926.864062673,-908.205984558
150,-926.670153648,-908.207018032
151,-926.478807061,-908.20802863
152,-926.289979148,-908.20899394
153,-926.103627099,-908.209893679
154,-925.919709028,-908.21070987
155,-925.738183955,-908.211426961
156,-925.559011778,-908.212031914
157,-925.382153251,-908.21251425
158,-925.207569962,-908.212866056
159,-925.035224311,-908.213081957
160,-924.86507949,-908.213159066
161,-924.697099463,-908.213096895
162,-924.531248944,-908.212897253
163,-924.367493379,-908.212564112
164,-924.205798929,-908.212103467
165,-924.046132449,-908.211523164
166,-923.888461475,-908.210832726
167,-923.732754201,-908.210043159
168,-923.578979468,-908.209166749
169,-923.427106743,-908.20821685
170,-923.277106109,-908.207207658
171,-923.128948245,-908.206153988
172,-922.982604416,-908.205071035
173,-922.838046451,-908.203974141
174,-922.69524674,-908.20287856
175,-922.554178212,-908.201799217
176,-922.414814323,-908.200750485
177,-922.277129049,-908.19974596
178,-922.141096866,-908.198798254
179,-922.006692745,-908.1979188
180,-921.873892133,-908.19711768
181,-921.742670949,-908.19640347
182,-921.613005569,-908.195783115
183,-921.484872815,-908.195261832
184,-921.358249945,-908.194843046
185,-921.233114646,-908.194528353
186,-921.109445017,-908.194317528
187,-920.98721957,-908.194208555
188,-920.866417208,-908.194197705
189,-920.747017227,-908.194279634
190,-920.628999301,-908.194447524
191,-920.512343476,-908.194693243
192,-920.397030158,-908.195007532
193,-920.283040111,-908.195380215
194,-920.170354444,-908.195800423
195,-920.058954604,-908.19625682
196,-919.94882237,-908.196737847
197,-919.839939847,-908.197231952
198,-919.732289453,-908.197727819
199,-919.625853919,-908.198214586
200,-919.520616279,-908.198682041
201,-919.416559862,-908.199120804
202,-919.313668289,-908.199522474
203,-919.211925463,-908.199879761
204,-919.111315566,-908.200186581
205,-919.011823053,-908.20043812
206,-918.913432644,-908.200630875
207,-918.816129319,-908.200762654
208,-918.719898314,-908.200832561
209,-918.624725114,-908.200840944
210,-918.530595448,-908.200789325
211,-918.437495287,-908.200680307
212,-918.345410833,-908.200517466
213,-918.25432852,-908.200305231
214,-918.164235006,-908.200048747
215,-918.075117168,-908.199753744
216,-917.986962101,-908.199426391
217,-917.89975711,-908.19907316
218,-917.813489707,-908.198700689
219,-917.728147608,-908.198315651
220,-917.643718728,-908.197924635
221,-917.560191174,-908.197534031
222,-917.477553247,-908.19714993
223,-917.395793435,-908.196778041
224,-917.314900407,-908.196423608
225,-917.234863016,-908.196091349
226,-917.155670288,-908.195785411
227,-917.077311423,-908.195509324
228,-916.999775792,-908.195265984
229,-916.923052929,-908.195057631
230,-916.847132535,-908.194885851
231,-916.772004468,-908.194751579
232,-916.697658745,-908.194655115
233,-916.624085536,-908.194596148
234,-916.551275163,-908.194573784
235,-916.479218093,-908.194586587
236,-916.407904944,-908.194632619
237,-916.33732647,-908.194709487
238,-916.267473572,-908.194814396
239,-916.198337283,-908.194944208
240,-916.129908773,-908.195095492
241,-916.062179344,-908.19526459
242,-915.99514043,-908.195447679
243,-915.928783589,-908.195640829
244,-915.863100508,-908.195840067
245,-915.798082993,-908.196041437
246,-915.733722974,-908.196241061
247,-915.670012499,-908.196435195
248,-915.606943731,-908.196620283
249,-915.54450895,-908.196793007
250,-915.482700546,-908.196950337
251,-915.421511019,-908.197089565
252,-915.360932981,-908.197208349
253,-915.300959146,-908.197304737
254,-915.241582336,-908.197377193
255,-915.182795475,-908.197424614
256,-915.124591586,-908.19744634
257,-915.066963795,-908.197442156
258,-915.009905322,-908.197412287
259,-914.953409486,-908.19735739
260,-914.897469697,-908.197278531
261,-914.84207946,-908.197177163
262,-914.787232371,-908.197055097
263,-914.732922114,-908.196914457
264,-914.679142463,-908.19675765
265,-914.625887276,-908.196587307
266,-914.573150499,-908.196406245
267,-914.520926159,-908.196217405
268,-914.469208368,-908.196023804
269,-914.417991315,-908.195828478
270,-914.367269273,-908.195634427
271,-914.317036591,-908.195444561
272,-914.267287694,-908.195261652
273,-914.218017084,-908.195088284
274,-914.169219337,-908.194926811
275,-914.120889104,-908.194779314
276,-914.073021105,-908.194647577
277,-914.025610134,-908.194533049
278,-913.978651051,-908.194436835
279,-913.932138789,-908.194359675
280,-913.886068346,-908.194301942
281,-913.840434786,-908.194263644
282,-913.795233239,-908.194244429
283,-913.750458902,-908.194243605
284,-913.70610703,-908.194260159
285,-913.662172946,-908.194292782
286,-913.61865203,-908.194339908
287,-913.575539724,-908.194399744
288,-913.532831531,-908.194470314
289,-913.490523011,-908.194549501
290,-913.44860978,-908.194635092
291,-913.407087515,-908.194724819
292,-913.365951946,-908.194816412
293,-913.325198857,-908.194907634
294,-913.284824088,-908.194996328
295,-913.244823534,-908.195080455
296,-913.205193138,-908.195158128
297,-913.1659289,-908.195227643
298,-913.127026866,-908.195287508
299,-913.088483135,-908.195336463
