Iterations,NAG,NAGG
0,-867.291451986,-866.198801425
1,-811.760531397,-686.564962568
2,-776.868586964,-566.329670945
3,-750.68563973,-476.73788354
4,-729.525296105,-411.906592737
5,-711.701572319,-365.129745963
6,-696.26233194,-331.18880547
7,-682.601154279,-306.364191751
8,-670.303409702,-288.058858742
9,-659.073019192,-274.456078369
10,-648.692632898,-264.275416864
11,-638.999756973,-256.607715312
12,-629.871387747,-250.802637267
13,-621.213598474,-246.390972084
14,-612.954212069,-243.030785201
15,-605.0375004,-240.470174332
16,-597.420269413,-238.521504322
17,-590.068922249,-237.043501627
18,-582.957229776,-235.928721879
19,-576.064622999,-235.094707576
20,-569.374876644,-234.47769368
21,-562.875089775,-234.028078806
22,-556.554894378,-233.707123665
23,-550.40584044,-233.484506933
24,-544.420918622,-233.336485487
25,-538.594190791,-233.24448608
26,-532.920505428,-233.194010247
27,-527.395279967,-233.173771418
28,-522.01433599,-233.175008494
29,-516.773776083,-233.190937275
30,-511.669893467,-233.216312533
31,-506.699107287,-233.247080931
32,-501.857917841,-233.280109664
33,-497.142877159,-233.312978426
34,-492.550571248,-233.343823899
35,-488.077611039,-233.371226825
36,-483.720629684,-233.394132401
37,-479.476284309,-233.411795388
38,-475.341260768,-233.423742234
39,-471.312280232,-233.429743625
40,-467.386106737,-233.429792244
41,-463.559555026,-233.424081923
42,-459.829498201,-233.412985742
43,-456.192874828,-233.397031836
44,-452.646695291,-233.376876574
45,-449.188047225,-233.35327543
46,-445.814099983,-233.327052237
47,-442.522108107,-233.29906771
48,-439.309413831,-233.270188171
49,-436.173448665,-233.241255434
50,-433.11173414,-233.213058772
51,-430.12188178,-233.186309877
52,-427.201592412,-233.161621686
53,-424.348654886,-233.139491854
54,-421.56094431,-233.120291518
55,-418.836419877,-233.104259764
56,-416.173122372,-233.091503932
57,-413.569171425,-233.082005563
58,-411.022762587,-233.075631424
59,-408.532164284,-233.072148793
60,-406.095714699,-233.071243904
61,-403.71181863,-233.072542345
62,-401.378944364,-233.075630188
63,-399.095620597,-233.08007467
64,-396.86043342,-233.085443466
65,-394.672023405,-233.091321748
66,-392.529082792,-233.097326527
67,-390.430352798,-233.103117967
68,-388.374621057,-233.108407584
69,-386.360719185,-233.112963427
70,-384.387520487,-233.116612429
71,-382.453937791,-233.119240227
72,-380.558921425,-233.120788785
73,-378.701457309,-233.121252183
74,-376.880565188,-233.120670939
75,-375.095296974,-233.119125233
76,-373.344735202,-233.116727391
77,-371.627991604,-233.113613983
78,-369.94420577,-233.109937851
79,-368.292543914,-233.10586037
80,-366.672197724,-233.101544215
81,-365.08238329,-233.097146843
82,-363.522340114,-233.092814875
83,-361.991330182,-233.088679502
84,-360.488637104,-233.084852973
85,-359.013565306,-233.081426193
86,-357.565439281,-233.078467395
87,-356.14360288,-233.076021824
88,-354.747418652,-233.074112319
89,-353.37626722,-233.072740684
90,-352.029546691,-233.07188968
91,-350.706672101,-233.071525518
92,-349.407074886,-233.071600676
93,-348.13020238,-233.072056908
94,-346.875517331,-233.07282831
95,-345.64249745,-233.073844327
96,-344.430634964,-233.075032594
97,-343.239436198,-233.076321545
98,-342.068421166,-233.077642722
99,-340.917123177,-233.07893276
100,-339.785088459,-233.080135007
101,-338.671875785,-233.081200795
102,-337.577056122,-233.08209036
103,-336.50021228,-233.082773417
104,-335.440938577,-233.083229426
105,-334.398840509,-233.083447556
106,-333.373534433,-233.083426376
107,-332.364647251,-233.083173308
108,-331.371816112,-233.082703841
109,-330.394688109,-233.082040561
110,-329.432919996,-233.081212002
111,-328.4861779,-233.080251364
112,-327.554137053,-233.079195129
113,-326.636481514,-233.07808161
114,-325.732903916,-233.076949488
115,-324.843105206,-233.075836377
116,-323.966794394,-233.074777465
117,-323.103688317,-233.073804286
118,-322.253511394,-233.07294367
119,-321.415995402,-233.072216893
120,-320.59087925,-233.071639092
121,-319.77790876,-233.071218928
122,-318.976836456,-233.07095854
123,-318.187421356,-233.07085376
124,-317.409428773,-233.070894592
125,-316.642630122,-233.071065908
126,-315.886802728,-233.071348343
127,-315.141729643,-233.071719321
128,-314.407199472,-233.07215417
129,-313.683006197,-233.072627266
130,-312.968949012,-233.073113161
131,-312.26483216,-233.073587629
132,-311.570464779,-233.074028598
133,-310.885660746,-233.074416933
134,-310.210238538,-233.07473703
135,-309.544021084,-233.074977229
136,-308.886835631,-233.075130017
137,-308.23851361,-233.075192047
138,-307.598890513,-233.075163978
139,-306.967805762,-233.075050153
140,-306.345102599,-233.074858156
141,-305.730627963,-233.074598263
142,-305.124232385,-233.074282829
143,-304.525769878,-233.073925642
144,-303.935097834,-233.073541263
145,-303.352076928,-233.073144399
146,-302.776571015,-233.072749312
147,-302.208447046,-233.072369294
148,-301.647574971,-233.072016223
149,-301.093827659,-233.07170021
150,-300.547080812,-233.07142933
151,-300.007212884,-233.071209462
152,-299.474105008,-233.071044216
153,-298.947640916,-233.07093495
154,-298.427706874,-233.07088087
155,-297.914191606,-233.070879198
156,-297.406986232,-233.070925408
157,-296.905984202,-233.0710135
158,-296.411081232,-233.071136313
159,-295.922175249,-233.071285861
160,-295.439166327,-233.071453674
161,-294.961956635,-233.071631134
162,-294.490450383,-233.071809801
163,-294.024553766,-233.071981703
164,-293.56417492,-233.072139606
165,-293.109223866,-233.072277229
166,-292.659612469,-233.072389422
167,-292.215254388,-233.072472289
168,-291.776065034,-233.072523263
169,-291.341961528,-233.072541131
170,-290.912862656,-233.072526004
171,-290.488688833,-233.07247925
172,-290.069362062,-233.072403378
173,-289.654805897,-233.072301889
174,-289.244945405,-233.072179106
175,-288.839707134,-233.072039966
176,-288.439019074,-233.071889818
177,-288.042810627,-233.071734196
178,-287.651012574,-233.07157861
179,-287.263557041,-233.071428339
180,-286.880377471,-233.071288237
181,-286.501408596,-233.071162571
182,-286.126586401,-233.07105488
183,-285.755848103,-233.070967873
184,-285.389132121,-233.070903355
185,-285.026378048,-233.070862194
186,-284.667526626,-233.070844328
187,-284.312519721,-233.070848806
188,-283.961300297,-233.070873856
189,-283.613812395,-233.070916994
190,-283.270001106,-233.070975152
191,-282.929812549,-233.071044817
192,-282.593193848,-233.071122199
193,-282.260093115,-233.071203384
194,-281.930459421,-233.071284505
195,-281.604242781,-233.071361887
196,-281.281394133,-233.071432191
197,-280.961865314,-233.071492529
198,-280.645609046,-233.071540562
199,-280.332578915,-233.071574566
200,-280.022729351,-233.071593471
201,-279.716015613,-233.071596876
202,-279.412393767,-233.07158503
203,-279.111820674,-233.071558785
204,-278.81425397,-233.07151954
205,-278.51965205,-233.071469148
206,-278.227974051,-233.071409823
207,-277.93917984,-233.071344029
208,-277.653229994,-233.071274373
209,-277.370085786,-233.071203488
210,-277.089709174,-233.07113393
211,-276.812062783,-233.071068079
212,-276.53710989,-233.071008056
213,-276.264814414,-233.070955651
214,-275.9951409,-233.070912271
215,-275.728054507,-233.070878906
216,-275.463520995,-233.070856112
217,-275.20150671,-233.070844011
218,-274.941978577,-233.070842312
219,-274.684904083,-233.070850341
220,-274.430251267,-233.070867088
221,-274.17798871,-233.070891262
222,-273.928085521,-233.070921358
223,-273.680511329,-233.070955719
224,-273.43523627,-233.070992615
225,-273.192230978,-233.071030303
226,-272.951466572,-233.071067101
227,-272.712914651,-233.071101445
228,-272.47654728,-233.071131944
229,-272.242336981,-233.071157421
230,-272.010256725,-233.071176951
231,-271.780279924,-233.071189883
232,-271.552380418,-233.07119585
233,-271.32653247,-233.071194773
234,-271.102710756,-233.071186848
235,-270.880890356,-233.071172528
236,-270.661046749,-233.071152494
237,-270.443155799,-233.071127621
238,-270.227193754,-233.071098933
239,-270.013137236,-233.071067561
240,-269.80096323,-233.071034696
241,-269.590649083,-233.071001537
242,-269.382172492,-233.07096925
243,-269.175511499,-233.070938922
244,-268.970644485,-233.070911521
245,-268.767550161,-233.07088787
246,-268.566207564,-233.070868613
247,-268.366596051,-233.070854202
248,-268.168695289,-233.070844887
249,-267.972485255,-233.070840712
250,-267.777946224,-233.070841523
251,-267.585058768,-233.070846979
252,-267.393803748,-233.070856577
253,-267.204162308,-233.070869673
254,-267.016115872,-233.070885514
255,-266.829646138,-233.070903274
256,-266.644735072,-233.070922083
257,-266.461364902,-233.070941071
258,-266.279518118,-233.070959394
259,-266.09917746,-233.070976273
260,-265.920325921,-233.070991017
261,-265.742946737,-233.071003049
262,-265.567023384,-233.071011926
263,-265.392539574,-233.071017345
264,-265.219479253,-233.071019157
265,-265.047826592,-233.071017363
266,-264.877565987,-233.071012106
267,-264.708682053,-233.071003664
268,-264.541159623,-233.07099243
269,-264.374983739,-233.070978891
270,-264.210139655,-233.07096361
271,-264.046612826,-233.070947194
272,-263.88438891,-233.070930273
273,-263.723453765,-233.070913469
274,-263.563793441,-233.070897379
275,-263.405394179,-233.070882546
276,-263.248242409,-233.07086944
277,-263.092324746,-233.070858449
278,-262.937627987,-233.070849859
279,-262.784139106,-233.070843852
280,-262.631845255,-233.070840504
281,-262.480733758,-233.070839781
282,-262.330792108,-233.070841552
283,-262.182007967,-233.070845595
284,-262.03436916,-233.070851608
285,-261.887863676,-233.070859226
286,-261.742479662,-233.070868039
287,-261.598205421,-233.070877608
288,-261.455029411,-233.070887485
289,-261.312940243,-233.070897228
290,-261.171926675,-233.07090642
291,-261.031977615,-233.070914684
292,-260.893082112,-233.070921695
293,-260.755229362,-233.070927192
294,-260.618408697,-233.070930981
295,-260.48260959,-233.070932948
296,-260.347821648,-233.070933049
297,-260.214034613,-233.07093132
298,-260.08123836,-233.070927863
299,-259.94942289,-233.070922846
