Iterations,NAG,NAGG
0,-130.932777781,-130.750041846
1,-127.591425939,-115.57761973
2,-125.347533729,-110.863244909
3,-123.612730209,-107.431136817
4,-122.196384012,-105.109287136
5,-121.008435985,-103.601188173
6,-119.995794387,-102.639848712
7,-119.122695119,-102.029948118
8,-118.363031523,-101.640877026
9,-117.696791184,-101.388460139
10,-117.108158099,-101.219072984
11,-116.584385173,-101.098980357
12,-116.115064131,-101.007792721
13,-115.691620472,-100.934268639
14,-115.306946243,-100.873192093
15,-114.955123015,-100.822774823
16,-114.631207099,-100.782561392
17,-114.331059627,-100.752013577
18,-114.051210055,-100.729871338
19,-113.788745241,-100.714184342
20,-113.5412185,-100.702740916
21,-113.306574495,-100.693579366
22,-113.083086864,-100.685346372
23,-112.869306175,-100.677405161
24,-112.664016346,-100.669721066
25,-112.466198018,-100.662621949
26,-112.274997714,-100.656540867
27,-112.089701792,-100.651818239
28,-111.90971442,-100.648596844
29,-111.734538923,-100.646805399
30,-111.563761966,-100.646204276
31,-111.397040134,-100.646460469
32,-111.234088533,-100.647223445
33,-111.074671122,-100.648183467
34,-110.918592495,-100.649104715
35,-110.765690913,-100.649834317
36,-110.615832399,-100.650293793
37,-110.46890573,-100.650461389
38,-110.324818213,-100.650352881
39,-110.183492116,-100.650005742
40,-110.04486167,-100.649468548
41,-109.908870553,-100.648794934
42,-109.775469789,-100.648040208
43,-109.644616007,-100.647258643
44,-109.516269993,-100.64650031
45,-109.390395517,-100.645807378
46,-109.266958364,-100.645210597
47,-109.145925569,-100.644726966
48,-109.027264799,-100.644359339
49,-108.910943882,-100.644098161
50,-108.796930441,-100.643924936
51,-108.685191629,-100.643816591
52,-108.575693943,-100.643749781
53,-108.468403106,-100.643704312
54,-108.363284001,-100.643665207
55,-108.260300651,-100.643623312
56,-108.159416237,-100.643574705
57,-108.060593143,-100.64351934
58,-107.963793021,-100.643459422
59,-107.868976875,-100.643397937
60,-107.776105159,-100.643337582
61,-107.685137878,-100.643280187
62,-107.596034698,-100.643226577
63,-107.508755057,-100.643176731
64,-107.423258275,-100.643130093
65,-107.339503661,-100.643085902
66,-107.257450621,-100.643043469
67,-107.177058756,-100.643002355
68,-107.098287955,-100.642962473
69,-107.021098488,-100.642924097
70,-106.945451082,-100.642887826
71,-106.871307001,-100.64285449
72,-106.798628108,-100.642825026
73,-106.727376927,-100.642800318
74,-106.657516696,-100.642781026
75,-106.589011411,-100.642767432
76,-106.521825867,-100.642759317
77,-106.455925688,-100.642755909
78,-106.391277352,-100.642755914
79,-106.327848215,-100.642757617
80,-106.26560652,-100.642759076
81,-106.204521408,-100.642758335
82,-106.144562926,-100.642753663
83,-106.08570202,-100.64274376
84,-106.027910536,-100.64272791
85,-105.971161211,-100.642706052
86,-105.91542766,-100.642678784
87,-105.860684365,-100.642647277
88,-105.806906658,-100.642613142
89,-105.7540707,-100.642578252
90,-105.702153465,-100.642544546
91,-105.651132712,-100.642513852
92,-105.600986969,-100.64248772
93,-105.551695502,-100.642467305
94,-105.503238293,-100.642453289
95,-105.455596016,-100.642445856
96,-105.408750009,-100.642444714
97,-105.362682247,-100.642449149
98,-105.317375318,-100.642458125
99,-105.272812396,-100.642470382
100,-105.228977215,-100.642484557
101,-105.185854045,-100.642499294
102,-105.143427667,-100.642513338
103,-105.101683347,-100.642525611
104,-105.060606816,-100.642535266
105,-105.020184244,-100.642541706
106,-104.980402219,-100.642544598
107,-104.941247729,-100.642543852
108,-104.902708137,-100.642539595
109,-104.864771165,-100.642532141
110,-104.827424873,-100.642521946
111,-104.790657645,-100.642509574
112,-104.754458169,-100.642495659
113,-104.718815424,-100.642480871
114,-104.683718664,-100.642465883
115,-104.649157403,-100.642451345
116,-104.615121404,-100.642437858
117,-104.581600666,-100.642425947
118,-104.548585413,-100.642416044
119,-104.51606608,-100.642408466
120,-104.484033311,-100.642403403
121,-104.452477941,-100.642400907
122,-104.421390992,-100.642400898
123,-104.390763667,-100.64240316
124,-104.360587339,-100.642407362
125,-104.330853545,-100.642413077
126,-104.301553983,-100.642419812
127,-104.272680502,-100.642427037
128,-104.244225103,-100.642434219
129,-104.216179927,-100.642440859
130,-104.188537257,-100.642446523
131,-104.161289512,-100.642450863
132,-104.134429241,-100.642453638
133,-104.107949126,-100.642454722
134,-104.081841973,-100.642454108
135,-104.056100712,-100.642451894
136,-104.030718396,-100.642448275
137,-104.005688198,-100.642443519
138,-103.981003408,-100.642437942
139,-103.956657431,-100.642431885
140,-103.932643789,-100.642425691
141,-103.908956116,-100.642419681
142,-103.885588158,-100.642414137
143,-103.862533771,-100.642409287
144,-103.839786921,-100.642405302
145,-103.817341684,-100.642402284
146,-103.795192241,-100.642400276
147,-103.773332882,-100.64239926
148,-103.751758001,-100.642399168
149,-103.730462097,-100.642399888
150,-103.709439774,-100.642401279
151,-103.688685738,-100.642403177
152,-103.668194797,-100.64240541
153,-103.647961862,-100.642407802
154,-103.627981942,-100.642410189
155,-103.608250146,-100.642412421
156,-103.588761683,-100.64241437
157,-103.569511858,-100.642415935
158,-103.550496072,-100.642417045
159,-103.531709824,-100.642417659
160,-103.513148705,-100.642417766
161,-103.494808401,-100.642417387
162,-103.476684688,-100.642416566
163,-103.458773436,-100.642415368
164,-103.441070602,-100.642413876
165,-103.423572233,-100.642412182
166,-103.406274464,-100.64241038
167,-103.389173516,-100.642408564
168,-103.372265692,-100.64240682
169,-103.355547383,-100.642405221
170,-103.339015057,-100.642403826
171,-103.322665268,-100.642402674
172,-103.306494644,-100.642401787
173,-103.290499895,-100.64240117
174,-103.274677805,-100.642400811
175,-103.259025234,-100.642400685
176,-103.243539115,-100.642400756
177,-103.228216452,-100.642400983
178,-103.213054322,-100.642401323
179,-103.198049867,-100.642401731
180,-103.1832003,-100.642402166
181,-103.168502899,-100.642402593
182,-103.153955006,-100.642402984
183,-103.139554024,-100.642403316
184,-103.125297421,-100.642403578
185,-103.111182723,-100.642403761
186,-103.097207515,-100.642403864
187,-103.083369437,-100.642403892
188,-103.069666187,-100.642403851
189,-103.056095517,-100.642403751
190,-103.042655229,-100.642403602
191,-103.02934318,-100.642403414
192,-103.016157273,-100.642403197
193,-103.003095463,-100.642402959
194,-102.990155749,-100.642402706
195,-102.977336179,-100.642402443
196,-102.964634843,-100.642402174
197,-102.952049874,-100.642401901
198,-102.93957945,-100.642401627
199,-102.927221788,-100.642401352
200,-102.914975143,-100.642401077
201,-102.902837811,-100.642400804
202,-102.890808124,-100.642400536
203,-102.878884451,-100.642400276
204,-102.867065195,-100.642400027
205,-102.855348795,-100.642399794
206,-102.84373372,-100.642399583
207,-102.832218475,-100.642399399
208,-102.820801594,-100.642399247
209,-102.80948164,-100.642399133
210,-102.798257207,-100.64239906
211,-102.787126918,-100.642399032
212,-102.776089421,-100.642399048
213,-102.765143395,-100.642399107
214,-102.754287542,-100.642399206
215,-102.743520588,-100.64239934
216,-102.732841287,-100.642399499
217,-102.722248415,-100.642399675
218,-102.711740772,-100.642399856
219,-102.701317179,-100.64240003
220,-102.69097648,-100.642400186
221,-102.680717541,-100.642400313
222,-102.670539247,-100.6424004
223,-102.660440505,-100.64240044
224,-102.65042024,-100.642400428
225,-102.640477398,-100.642400361
226,-102.630610941,-100.642400239
227,-102.620819852,-100.642400067
228,-102.611103131,-100.642399852
229,-102.601459794,-100.642399601
230,-102.591888875,-100.642399327
231,-102.582389425,-100.642399042
232,-102.572960511,-100.642398759
233,-102.563601215,-100.64239849
234,-102.554310634,-100.642398249
235,-102.545087883,-100.642398045
236,-102.535932089,-100.642397888
237,-102.526842394,-100.642397781
238,-102.517817956,-100.64239773
239,-102.508857946,-100.642397732
240,-102.499961548,-100.642397786
241,-102.491127959,-100.642397886
242,-102.482356393,-100.642398024
243,-102.473646073,-100.642398189
244,-102.464996236,-100.642398371
245,-102.456406133,-100.642398559
246,-102.447875025,-100.64239874
247,-102.439402187,-100.642398905
248,-102.430986906,-100.642399043
249,-102.422628479,-100.642399146
250,-102.414326218,-100.64239921
251,-102.406079443,-100.642399231
252,-102.397887487,-100.642399207
253,-102.389749694,-100.642399142
254,-102.38166542,-100.642399038
255,-102.37363403,-100.642398902
256,-102.365654901,-100.642398741
257,-102.357727419,-100.642398563
258,-102.349850983,-100.642398378
259,-102.342025,-100.642398194
260,-102.334248888,-100.642398021
261,-102.326522075,-100.642397866
262,-102.318843999,-100.642397735
263,-102.311214108,-100.642397635
264,-102.303631858,-100.642397567
265,-102.296096716,-100.642397533
266,-102.288608159,-100.642397532
267,-102.281165671,-100.642397562
268,-102.273768746,-100.642397619
269,-102.266416889,-100.642397698
270,-102.259109611,-100.642397793
271,-102.251846432,-100.642397898
272,-102.244626882,-100.642398005
273,-102.237450499,-100.642398109
274,-102.23031683,-100.642398203
275,-102.223225427,-100.642398283
276,-102.216175854,-100.642398344
277,-102.209167682,-100.642398384
278,-102.202200488,-100.642398402
279,-102.195273857,-100.642398397
280,-102.188387385,-100.64239837
281,-102.181540671,-100.642398324
282,-102.174733324,-100.642398261
283,-102.167964959,-100.642398186
284,-102.161235199,-100.642398102
285,-102.154543673,-100.642398014
286,-102.147890018,-100.642397926
287,-102.141273876,-100.642397842
288,-102.134694897,-100.642397766
289,-102.128152737,-100.6423977
290,-102.121647058,-100.642397647
291,-102.115177529,-100.642397609
292,-102.108743825,-100.642397585
293,-102.102345626,-100.642397575
294,-102.095982618,-100.642397579
295,-102.089654493,-100.642397595
296,-102.083360949,-100.642397621
297,-102.07710169,-100.642397655
298,-102.070876424,-100.642397694
299,-102.064684863,-100.642397736
