Iterations,NAG,NAGG
0,-10816.0857271,-10797.5408716
1,-9531.22466924,-8192.47247397
2,-8981.22101873,-8020.93398422
3,-8671.69607264,-7880.29986031
4,-8477.41710349,-7740.20091378
5,-8347.98300911,-7602.12281846
6,-8258.03960537,-7466.06200868
7,-8193.20153939,-7331.63148779
8,-8144.71573147,-7199.09414648
9,-8107.02341518,-7069.36772908
10,-8076.4988264,-6943.77795271
11,-8050.73839065,-6823.72840064
12,-8028.13515392,-6710.42118865
13,-8007.61251309,-6604.70448371
14,-7988.45204724,-6507.04047712
15,-7970.17938023,-6417.54905617
16,-7952.48705913,-6336.08172399
17,-7935.18168956,-6262.29590099
18,-7918.14732014,-6195.71650906
19,-7901.31990948,-6135.7828847
20,-7884.66946485,-6081.88396166
21,-7868.18755566,-6033.38541334
22,-7851.87862802,-5989.65137785
23,-7835.75402654,-5950.06204842
24,-7819.82795219,-5914.02751449
25,-7804.11480696,-5880.99791657
26,-7788.62752982,-5850.4700667
27,-7773.37663694,-5821.99093644
28,-7758.36975676,-5795.15862886
29,-7743.61150607,-5769.62153094
30,-7729.10359432,-5745.07628608
31,-7714.84507329,-5721.26508046
32,-7700.83267162,-5697.97256813
33,-7687.06117046,-5675.02261696
34,-7673.52378921,-5652.27496431
35,-7660.21255961,-5629.62182855
36,-7647.11867398,-5606.98451408
37,-7634.2327986,-5584.31005388
38,-7621.54534728,-5561.56794023
39,-7609.04671349,-5538.74699117
40,-7596.72746127,-5515.85238863
41,-7584.57847684,-5492.90290765
42,-7572.59108384,-5469.92833962
43,-7560.75712592,-5446.96710261
44,-7549.06902048,-5424.06402724
45,-7537.51978767,-5401.26830962
46,-7526.10305868,-5378.6316282
47,-7514.81306715,-5356.20642784
48,-7503.64462715,-5334.04437911
49,-7492.59310108,-5312.19502239
50,-7481.6543603,-5290.70460597
51,-7470.82474097,-5269.61512418
52,-7460.10099719,-5248.96355855
53,-7449.48025345,-5228.78132108
54,-7438.95995744,-5209.09389585
55,-7428.53783475,-5189.92067187
56,-7418.21184611,-5171.27495752
57,-7407.98014781,-5153.16416341
58,-7397.84105581,-5135.59013751
59,-7387.7930137,-5118.54963255
60,-7377.83456464,-5102.03488284
61,-7367.96432716,-5086.03426458
62,-7358.18097484,-5070.53301252
63,-7348.48321954,-5055.51396468
64,-7338.86979795,-5040.95830796
65,-7329.33946125,-5026.84629884
66,-7319.89096741,-5013.1579362
67,-7310.52307592,-4999.87356686
68,-7301.23454465,-4986.97440851
69,-7292.02412837,-4974.44297903
70,-7282.89057881,-4962.26342599
71,-7273.83264586,-4950.42175451
72,-7264.84907964,-4938.90595592
73,-7255.93863334,-4927.70604319
74,-7247.10006644,-4916.81400254
75,-7238.33214824,-4906.22367266
76,-7229.63366153,-4895.9305647
77,-7221.0034062,-4885.93163708
78,-7212.44020281,-4876.22503921
79,-7203.94289581,-4866.80983777
80,-7195.51035663,-4857.68573824
81,-7187.14148631,-4848.85281286
82,-7178.83521783,-4840.31124476
83,-7170.59051802,-4832.06109583
84,-7162.40638904,-4824.10210424
85,-7154.28186954,-4816.43351563
86,-7146.21603532,-4809.05394997
87,-7138.20799971,-4801.96130488
88,-7130.25691354,-4795.15269446
89,-7122.36196482,-4788.62442158
90,-7114.52237807,-4782.37198094
91,-7106.73741347,-4776.39008913
92,-7099.00636571,-4770.67273774
93,-7091.32856266,-4765.21326519
