Iterations,NAG,NAGG
0,-262.603804458,-262.459123942
1,-258.268469524,-245.387065749
2,-255.871198102,-236.312077677
3,-254.183694019,-229.956549234
4,-252.863279349,-225.648564148
5,-251.763120906,-222.619196151
6,-250.805762344,-220.308075826
7,-249.945635299,-218.38534366
8,-249.154299207,-216.68627695
9,-248.413421674,-215.142948298
10,-247.7109821,-213.735184344
11,-247.039032576,-212.461036569
12,-246.392299236,-211.321444902
13,-245.767275649,-210.313772475
14,-245.161621666,-209.430316651
15,-244.573759901,-208.659280232
16,-244.002603754,-207.986645057
17,-243.447374617,-207.398014621
18,-242.907480188,-206.879942318
19,-242.38243485,-206.420608211
20,-241.871808954,-206.009944989
21,-241.375197835,-205.639428409
22,-240.892204135,-205.301752503
23,-240.422428894,-204.990545172
24,-239.965468255,-204.700192718
25,-239.520913597,-204.425769954
26,-239.08835357,-204.163033522
27,-238.667377051,-203.908429679
28,-238.257576341,-203.659082191
29,-237.858550215,-203.412746955
30,-237.469906591,-203.167737333
31,-237.091264695,-202.922833433
32,-236.722256703,-202.677190112
33,-236.362528871,-202.430254907
34,-236.011742199,-202.181701493
35,-235.6695727,-201.93137902
36,-235.335711338,-201.679274135
37,-235.009863704,-201.425481115
38,-234.691749499,-201.170176069
39,-234.381101881,-200.91359283
40,-234.077666722,-200.656000069
41,-233.781201817,-200.397680592
42,-233.491476089,-200.138914258
43,-233.208268795,-199.879965671
44,-232.931368774,-199.621076935
45,-232.660573737,-199.362464893
46,-232.395689608,-199.104321693
47,-232.136529931,-198.846817381
48,-231.88291533,-198.590103461
49,-231.634673033,-198.334316784
50,-231.391636452,-198.07958349
51,-231.153644812,-197.826022964
52,-230.920542831,-197.573751771
53,-230.692180442,-197.322887453
54,-230.46841255,-197.073551919
55,-230.249098826,-196.825874123
56,-230.034103518,-196.579991717
57,-229.823295297,-196.336051522
58,-229.616547106,-196.094208808
59,-229.41373604,-195.854625513
60,-229.214743219,-195.617467666
61,-229.019453685,-195.382902285
62,-228.827756294,-195.151094058
63,-228.639543615,-194.922202039
64,-228.454711835,-194.696376589
65,-228.273160662,-194.473756705
66,-228.094793224,-194.254467893
67,-227.919515981,-194.038620671
68,-227.747238624,-193.826309775
69,-227.577873977,-193.617614075
70,-227.411337906,-193.412597191
71,-227.247549217,-193.211308721
72,-227.086429559,-193.013785969
73,-226.927903332,-192.82005603
74,-226.771897587,-192.630138065
75,-226.618341929,-192.444045618
76,-226.467168431,-192.261788821
77,-226.318311534,-192.083376371
78,-226.171707961,-191.908817177
79,-226.027296626,-191.738121625
80,-225.885018555,-191.571302401
81,-225.744816793,-191.408374882
82,-225.606636332,-191.249357102
83,-225.470424032,-191.094269328
84,-225.336128543,-190.943133304
85,-225.203700238,-190.795971228
86,-225.073091144,-190.652804552
87,-224.944254872,-190.513652665
88,-224.817146564,-190.378531569
89,-224.691722825,-190.247452594
90,-224.56794167,-190.120421244
91,-224.445762473,-189.997436208
92,-224.325145911,-189.878488589
93,-224.206053918,-189.763561378
94,-224.088449641,-189.652629171
95,-223.972297391,-189.545658156
96,-223.857562607,-189.442606326
97,-223.744211811,-189.343423924
98,-223.632212577,-189.248054065
99,-223.521533486,-189.156433516
100,-223.4121441,-189.068493586
101,-223.304014924,-188.984161076
102,-223.197117376,-188.903359259
103,-223.091423756,-188.826008847
104,-222.98690722,-188.752028902
105,-222.883541746,-188.681337669
106,-222.781302115,-188.613853313
107,-222.680163877,-188.549494528
108,-222.580103332,-188.488181022
109,-222.481097502,-188.429833878
110,-222.38312411,-188.374375777
111,-222.286161555,-188.32173112
112,-222.190188893,-188.271826028
113,-222.095185809,-188.224588271
114,-222.001132606,-188.179947121
115,-221.908010176,-188.137833153
116,-221.815799984,-188.098178017
117,-221.72448405,-188.060914198
118,-221.634044927,-188.025974776
119,-221.544465687,-187.993293196
120,-221.455729899,-187.962803077
121,-221.367821616,-187.934438034
122,-221.280725356,-187.908131559
123,-221.194426086,-187.883816927
124,-221.108909209,-187.861427151
125,-221.024160545,-187.840894971
126,-220.940166319,-187.822152881
127,-220.856913145,-187.805133187
128,-220.774388015,-187.789768091
129,-220.692578284,-187.775989797
130,-220.611471656,-187.763730632
131,-220.531056174,-187.752923176
132,-220.451320208,-187.743500407
133,-220.37225244,-187.735395837
134,-220.293841859,-187.72854366
135,-220.216077744,-187.722878885
136,-220.138949657,-187.718337475
137,-220.062447435,-187.714856471
138,-219.986561177,-187.712374112
139,-219.911281235,-187.71082994
140,-219.836598209,-187.710164906
141,-219.762502934,-187.710321451
142,-219.688986475,-187.711243586
143,-219.616040119,-187.712876955
144,-219.543655366,-187.715168887
145,-219.471823924,-187.718068431
146,-219.4005377,-187.721526389
147,-219.329788795,-187.725495317
148,-219.259569497,-187.729929536
149,-219.189872276,-187.734785109
150,-219.120689777,-187.740019821
151,-219.052014815,-187.745593139
152,-218.98384037,-187.751466171
153,-218.91615958,-187.757601613
154,-218.848965741,-187.763963687
155,-218.782252296,-187.770518082
156,-218.716012834,-187.77723189
157,-218.650241085,-187.784073543
158,-218.584930916,-187.791012752
159,-218.520076326,-187.798020457
160,-218.455671445,-187.805068771
