Iterations,NAG,NAGG
0,-397.812484955,-397.142138966
1,-365.870949604,-324.229945943
2,-350.454843758,-321.743798011
3,-341.19426099,-320.097223191
4,-335.155071808,-318.733057051
5,-331.062743796,-317.657876564
6,-328.232538085,-316.823224754
7,-326.251819169,-316.170043376
8,-324.854944239,-315.646034726
9,-323.863902155,-315.210245648
10,-323.156352337,-314.832971811
11,-322.646853426,-314.493385336
12,-322.275147605,-314.17734593
13,-321.998523405,-313.876139082
14,-321.786675503,-313.58568072
15,-321.61816085,-313.305561315
16,-321.477909777,-313.037716463
17,-321.355452777,-312.784952238
18,-321.243643023,-312.54971269
19,-321.137728181,-312.333356075
20,-321.034671866,-312.135975113
21,-320.93265562,-311.956614619
22,-320.830712699,-311.793672977
23,-320.728458937,-311.645304282
24,-320.62589551,-311.509713737
25,-320.523265275,-311.385314389
26,-320.420949129,-311.27076492
27,-320.31939234,-311.164931844
28,-320.219053304,-311.066821595
29,-320.120369058,-310.97551763
30,-320.023733249,-310.890142661
31,-319.929483295,-310.80985162
32,-319.837894239,-310.733849859
33,-319.749177398,-310.661424851
34,-319.663482363,-310.591978274
35,-319.580901232,-310.525048009
36,-319.501474261,-310.460314511
37,-319.425196276,-310.397591387
38,-319.352023416,-310.336804168
39,-319.281879829,-310.277963294
40,-319.214664119,-310.221137194
41,-319.150255342,-310.166429635
42,-319.088518471,-310.113963151
43,-319.029309269,-310.063868221
44,-318.972478521,-310.016276528
45,-318.917875668,-309.971316161
46,-318.865351815,-309.929107051
47,-318.814762196,-309.889755684
48,-318.765968095,-309.853349067
49,-318.718838305,-309.819948565
50,-318.67325016,-309.789584537
51,-318.629090197,-309.762252635
52,-318.5862545,-309.737912322
53,-318.544648775,-309.716487696
54,-318.504188206,-309.697870335
55,-318.464797125,-309.681923582
56,-318.426408556,-309.668487646
57,-318.388963639,-309.657384916
58,-318.352410996,-309.648425095
59,-318.316706041,-309.641409952
60,-318.281810275,-309.636137621
61,-318.247690571,-309.632406502
62,-318.214318477,-309.630018827
63,-318.181669542,-309.6287839
64,-318.149722683,-309.62852099
65,-318.118459586,-309.629061786
66,-318.087864164,-309.630252314
67,-318.057922064,-309.631954225
68,-318.028620225,-309.63404541
69,-317.999946496,-309.63641995
70,-317.971889298,-309.638987475
71,-317.944437348,-309.641672055
72,-317.917579418,-309.644410738
73,-317.891304155,-309.647151901
74,-317.865599929,-309.649853514
75,-317.840454728,-309.652481437
76,-317.815856081,-309.65500781
77,-317.791791018,-309.657409602
78,-317.768246054,-309.659667347
79,-317.74520719,-309.661764103
80,-317.722659941,-309.663684638
81,-317.700589376,-309.665414859
82,-317.678980174,-309.666941475
83,-317.65781668,-309.668251893
84,-317.637082981,-309.669334299
85,-317.616762978,-309.670177904
86,-317.596840461,-309.670773313
87,-317.577299188,-309.671112946
88,-317.558122962,-309.671191494
89,-317.539295703,-309.671006339
90,-317.520801518,-309.67055792
91,-317.502624768,-309.669850016
92,-317.48475013,-309.668889924
93,-317.467162649,-309.667688521
94,-317.44984779,-309.666260217
95,-317.432791478,-309.664622792
96,-317.415980139,-309.662797126
97,-317.399400725,-309.660806833
98,-317.383040742,-309.65867781
99,-317.366888265,-309.656437721
100,-317.350931953,-309.654115424
101,-317.335161056,-309.651740372
102,-317.319565413,-309.649342009
103,-317.304135452,-309.646949165
104,-317.288862184,-309.644589495
105,-317.273737191,-309.64228896
106,-317.258752608,-309.640071374
107,-317.243901112,-309.63795803
108,-317.229175899,-309.635967403
109,-317.214570661,-309.634114945
110,-317.200079564,-309.632412968
111,-317.185697223,-309.630870617
112,-317.171418674,-309.629493911
113,-317.157239351,-309.62828588
114,-317.143155057,-309.627246744
115,-317.129161935,-309.626374163
116,-317.115256446,-309.625663523
117,-317.101435337,-309.625108248
118,-317.087695622,-309.62470014
119,-317.07403455,-309.624429705
120,-317.060449587,-309.624286491
121,-317.046938391,-309.624259395
122,-317.033498789,-309.624336944
123,-317.020128759,-309.62450755
124,-317.00682641,-309.624759714
125,-316.993589966,-309.625082201
126,-316.980417747,-309.625464164
127,-316.967308159,-309.625895236
128,-316.954259676,-309.626365581
129,-316.94127083,-309.626865915
130,-316.928340202,-309.6273875
131,-316.915466412,-309.627922126
132,-316.90264811,-309.628462068
133,-316.88988397,-309.629000053
134,-316.877172687,-309.629529215
135,-316.864512968,-309.630043062
136,-316.851903532,-309.630535454
137,-316.839343109,-309.63100059
138,-316.826830432,-309.631433016
139,-316.814364243,-309.631827644
140,-316.801943289,-309.632179782
141,-316.789566323,-309.632485191
142,-316.777232108,-309.632740134
143,-316.764939413,-309.63294144
144,-316.752687018,-309.633086572
145,-316.740473718,-309.633173686
146,-316.72829832,-309.63320169
147,-316.716159651,-309.633170282
148,-316.704056557,-309.633079987
149,-316.691987907,-309.632932169
150,-316.679952597,-309.632729021
151,-316.667949549,-309.632473542
152,-316.655977719,-309.632169492
153,-316.644036094,-309.631821323
154,-316.632123698,-309.631434097
155,-316.620239593,-309.631013385
156,-316.608382882,-309.630565156
157,-316.596552708,-309.630095657
158,-316.58474826,-309.629611286
159,-316.57296877,-309.629118467
160,-316.561213516,-309.628623524
161,-316.549481826,-309.628132564
162,-316.537773071,-309.627651373
163,-316.526086673,-309.627185318
164,-316.514422101,-309.626739269
165,-316.502778872,-309.626317538
166,-316.49115655,-309.62592383
167,-316.479554747,-309.62556122
168,-316.467973119,-309.625232137
169,-316.456411369,-309.624938377
170,-316.444869243,-309.624681115
171,-316.43334653,-309.624460945
172,-316.421843059,-309.624277916
173,-316.410358699,-309.624131586
174,-316.398893355,-309.624021078
175,-316.38744697,-309.623945132
176,-316.376019517,-309.623902168
177,-316.364611005,-309.623890339
178,-316.353221468,-309.623907587
179,-316.341850969,-309.623951684
180,-316.330499595,-309.62402028
181,-316.319167457,-309.624110934
182,-316.307854685,-309.624221147
183,-316.296561428,-309.624348385
184,-316.285287849,-309.624490098
185,-316.274034127,-309.624643731
186,-316.262800451,-309.624806741
187,-316.251587022,-309.624976604
188,-316.240394045,-309.625150823
189,-316.229221734,-309.625326938
190,-316.218070304,-309.625502535
191,-316.206939975,-309.625675261
192,-316.195830965,-309.625842833
193,-316.184743492,-309.626003057
194,-316.173677771,-309.626153851
195,-316.162634014,-309.626293258
196,-316.151612426,-309.626419475
197,-316.140613208,-309.626530874
198,-316.129636553,-309.626626027
199,-316.118682644,-309.626703725
200,-316.107751658,-309.626763
201,-316.09684376,-309.626803144
202,-316.085959106,-309.626823721
203,-316.07509784,-309.626824573
204,-316.064260097,-309.626805829
205,-316.053445997,-309.626767898
206,-316.042655653,-309.626711463
207,-316.031889162,-309.626637467
208,-316.021146611,-309.626547095
209,-316.010428075,-309.626441749
210,-315.999733617,-309.626323019
211,-315.98906329,-309.626192652
212,-315.978417132,-309.626052519
213,-315.967795175,-309.625904577
214,-315.957197435,-309.625750831
215,-315.946623922,-309.625593303
216,-315.936074634,-309.625433993
217,-315.925549559,-309.625274849
218,-315.915048677,-309.625117734
219,-315.90457196,-309.624964406
220,-315.894119371,-309.624816488
221,-315.883690866,-309.624675458
222,-315.873286394,-309.624542631
223,-315.862905898,-309.624419147
224,-315.852549314,-309.624305973
225,-315.842216575,-309.624203894
226,-315.831907607,-309.624113518
227,-315.821622334,-309.624035281
228,-315.811360676,-309.623969449
229,-315.801122547,-309.623916133
230,-315.790907863,-309.623875293
231,-315.780716534,-309.623846752
232,-315.770548472,-309.623830204
233,-315.760403584,-309.62382523
234,-315.75028178,-309.623831303
235,-315.740182967,-309.623847801
236,-315.730107053,-309.623874021
237,-315.720053945,-309.623909181
238,-315.710023553,-309.623952436
239,-315.700015787,-309.624002887
240,-315.690030557,-309.624059582
241,-315.680067775,-309.624121536
242,-315.670127356,-309.624187732
243,-315.660209214,-309.624257131
244,-315.650313268,-309.624328685
245,-315.640439436,-309.624401345
246,-315.63058764,-309.624474067
247,-315.620757804,-309.624545831
248,-315.610949854,-309.624615644
249,-315.601163717,-309.624682554
